toiletries,band aid,brush,comb,deodorant,lipstick,mascara,nail clipper,nail polish,needle,razor,scale,toilet paper,toothbrush,toothpaste,towel,tweezers,mouthwash,shaving cream
-0.018512229,-0.04907199,0.024479615,0.03376458,0.0495789,0.001158788,0.011224554,0.058661338,0.017604025,-0.008021256,0.024177492,-0.08969513,-0.013403984,0.028888106,0.010120465,-0.001878991,0.028741976,0.002018793,-0.031269293
-0.03692692,0.009262988,-0.025552398,-0.029708948,-0.03616489,0.020628607,-0.014650819,-0.009393537,0.028040864,-0.024648115,-0.045322575,-0.04658835,-0.055274744,-0.027031906,0.021018475,0.028868094,-0.005012448,-0.003529973,0.008322981
0.06329905,0.08169237,0.048474137,0.06362238,0.010869414,-0.022404773,0.068862416,0.072654605,0.06078256,0.051391892,0.0724933,-0.02066739,0.048205778,0.002047584,0.004501913,-0.02604871,0.060309786,-0.035980035,0.03194394
-0.031049458,0.01636206,0.05451169,0.06564813,0.016578514,0.034754157,0.042490214,0.061410803,0.04660561,0.04044956,0.01471074,0.054079648,0.029854415,0.04904877,0.010749391,0.042111907,0.068331346,0.014079995,0.036003377
-0.020328354,0.058952913,-0.003280711,-0.004375232,0.00460344,0.04800373,0.030825477,0.0350075,0.003766548,0.006648141,-0.041511893,0.026407434,0.02292088,0.020959402,0.056891534,0.077762954,0.0711462,0.06086841,0.005434201
-0.03404584,0.033966243,0.042846914,0.00196802,-0.01129979,-0.002061698,-0.020091018,-0.073761694,-0.076491944,-0.040907487,-0.011119179,0.061727475,0.026462676,0.070175126,0.046615552,0.068963625,-0.06631399,0.004934098,0.008685459
0.06607496,0.043969218,0.029684883,0.0695229,0.049913287,0.0079889,0.018648116,0.02253481,-0.03251723,0.031856593,0.08373381,-0.034190834,0.067666724,0.027555868,0.04183296,-0.026500724,0.03459652,0.009171641,0.06285782
-0.035356056,-0.001811545,-0.015502316,0.03470162,-0.043445505,-0.01792247,0.00180879,-0.005837587,-0.05154332,-0.01125179,0.001053361,0.058024704,0.007050056,-0.017068353,-0.011949394,-0.04811591,0.031723395,-0.0420874,-0.004969845
0.014267742,0.011941656,-0.00312262,0.020901471,0.039651524,0.025810156,0.042334937,-0.010343989,0.020620823,0.05113009,-0.005333403,0.030042164,0.038752627,0.011473294,-0.028187588,0.027325366,-0.06904424,0.031785015,0.017918253
-0.03535298,-0.033386532,0.07348656,0.07243263,0.03264551,0.043392435,0.04464562,-0.013005328,0.040176876,0.037783884,0.031890623,0.03244483,-0.000906339,0.07037379,0.06442886,0.07065509,0.06611101,0.052013073,0.03570071
0.048305925,0.051842034,0.013964785,0.019938381,0.020883942,-0.039544042,-0.03144435,-0.055196393,-0.038469706,0.06537948,0.008278638,0.004122659,-0.005925001,0.001917027,-0.04161951,-0.037692975,0.002838136,0.034894582,-0.0587157
0.057010334,-0.029855445,0.049829,0.08482723,0.03723994,-0.020912759,0.06485499,0.06473907,-0.010781833,0.048757408,0.07835258,0.021252813,-0.014713421,-0.035812184,-0.055697035,-0.027798362,0.014238481,-0.029234402,0.07546822
0.027591385,0.022778593,-0.022743521,-0.002076773,-0.007357804,0.000891834,0.017701497,0.02595655,0.06604172,0.04064065,-0.016515577,0.029404124,0.001631645,-0.021399291,0.026423495,-0.013940384,0.02954283,-0.02798961,0.028837709
0.015242972,-0.004889877,-0.023631021,-0.000255618,-0.05251774,0.012905775,-0.0396235,-0.04831771,-0.055618163,-0.01654083,-0.048590586,0.05399274,-0.06501324,-0.042353045,-0.06463332,-0.059654627,-0.058981724,-0.030474514,-0.054796115
0.028086117,0.07434443,-0.044767413,-0.011113561,-0.00696104,-0.07127391,0.01126677,0.034387007,-0.00654549,0.043115523,0.04918072,0.03728931,0.072164044,-0.060272045,-0.070316404,0.06664485,0.027709883,-0.080420464,0.004465695
-0.005115761,-0.032693326,0.04776767,0.030595498,-0.04666395,-0.027108792,0.033346232,0.016675083,-0.01702155,0.01746022,0.073018566,0.002268849,-0.016274136,-0.009121985,0.021883728,-0.033690974,0.05067841,0.021957435,0.0219692
-0.008057806,0.011223119,-0.018143464,-0.000639828,0.03980986,0.05144246,0.038965277,0.000202586,0.023239939,-0.08138116,-0.01912282,0.011283817,0.049599256,-0.047948107,-0.025933694,0.06965694,-0.026620844,0.006294825,0.013710817
