Uncategorized,bird,bomb,bullet,cage,cannon,cigar,cigarette,coins,cross,fruit,grenade,heart,knot,license plate,mask,menu,money,parachute,passports,penny,saddle,shapes,steam,stethoscope,ticket,vegetables,wheel,whip
-0.067774996,-0.047559597,-0.055184886,-0.021604968,-0.02405422,-0.0567942,-0.03567398,-0.017997265,-0.06500794,-0.01973017,-0.046569873,-0.030475643,-0.059005536,0.04028483,-0.00081386894,-0.019200483,-0.074878216,-0.040921174,-0.051777247,-0.06035824,-0.019512843,-0.035733476,-0.045486886,-0.058374867,-0.06723006,-0.0510173,-0.03364026,-0.04799977,-0.0046627214
-0.030089652,0.013042739,-0.0020078016,0.01663577,-0.012806832,0.04525726,0.031505197,0.045746733,-0.03375758,-0.022770079,0.053188253,0.049998615,-0.030475667,0.001201972,0.014712057,0.023869336,0.04221527,-0.08184513,-0.041413732,-0.06948258,-0.04886137,0.04246645,-0.010732473,-0.012164883,0.040478945,-0.04737927,0.0053867083,-0.03006897,-0.015470407
0.0155524565,0.081152044,-0.023827547,0.024246706,0.07973746,0.024692755,0.026978245,0.046387795,-0.048149753,-0.0023279667,-0.011168744,0.023896407,0.0038084588,0.036994394,-0.053832296,-0.060403872,-0.0055550104,0.022349004,0.06296761,0.038566843,0.03947315,0.018622084,0.0024751294,0.049226508,-0.027697055,0.07016012,0.06907694,0.056947753,0.008929497
0.00094282033,0.052676525,0.020442195,0.046094373,0.04709814,-0.0017295702,-0.0055595413,0.019395974,-0.021262847,0.019323125,0.04462585,-0.016533831,0.060693532,0.0718354,0.046253804,0.012649332,0.059866548,0.035118863,-0.02714136,0.052412324,0.008095752,0.04263283,0.070924036,0.04089159,0.049306434,0.003630127,0.003794636,0.070696175,-0.005127918
-0.011636863,0.030882267,0.028635908,0.04556961,-0.0076995012,0.053268157,-0.019900972,-0.035903785,-0.010180499,0.045502912,-0.0057004956,-0.013652599,0.016700726,0.033407047,0.061626874,0.037231583,0.012139167,0.03933579,-0.008244283,-0.0035436982,-0.0010289068,0.0043410934,-0.048067126,0.0005664867,0.06308445,0.021886,-0.06185474,0.0038676872,-0.048964854
0.054359604,0.033000648,-0.055854928,-0.04667537,0.05012177,0.024591675,-0.08225912,-0.08248888,-0.057468176,0.025255831,0.079521604,-0.003265883,-0.070038565,-0.03915243,0.004393294,-0.024762036,0.025719993,0.036518123,-0.02582319,0.061956,0.00086114404,0.045743413,-0.013156275,0.03862205,-0.026874982,-0.027943822,0.058008865,0.00945349,0.074883
0.04440494,-0.024393763,-0.017558962,0.045678657,0.04518666,0.023690967,0.0005774875,0.042458296,-0.057287805,-0.041959353,0.012239677,0.004482439,0.005066075,0.001414832,0.037183147,0.04733581,0.010251473,-0.05779675,0.063098684,-0.00802207,-0.0602589,-0.035178933,0.022048851,0.07070438,0.042406786,-0.020077337,0.053516943,0.050193485,0.04434527
-0.040211104,-0.049181577,0.04755296,-0.01734239,0.0070134643,-0.030932155,-0.025586521,-0.016586911,0.011686726,0.03907566,-0.026442137,0.04091476,-0.044054978,-0.010214885,0.049298257,0.041717615,0.027662685,-0.0303486,0.02986072,0.004783998,-0.03123157,0.0032537985,0.082354,-0.049100604,0.02604195,-0.04988541,0.011725934,0.0037405286,0.0032799207
0.02741284,0.04968751,0.00011030776,-0.032531604,0.02204348,0.053836197,-0.046066675,-0.07060607,-0.075330056,0.0057916776,-0.026334524,-0.061730802,-0.0010060717,-0.009635099,-0.017382868,0.06900239,-0.029197654,-0.018569974,-0.019787878,-0.047084887,-0.0032070293,0.007202359,-0.07003586,0.013004714,-0.033750612,0.03292948,-0.08076291,0.00012626483,0.040366594
-0.0062839403,0.065564275,0.026724022,0.028469918,0.012610867,0.019902797,0.044409696,0.058141943,-0.026291434,0.032160684,-0.0006232225,0.06536852,0.06395289,0.0657255,-0.07264064,0.046326004,-0.015105241,-0.0934821,0.0076285643,-0.078574665,-0.027872343,0.04255096,0.052535664,-0.03707112,-0.0003057803,-0.08540914,0.029602144,0.016177576,0.06193358
0.0062789433,0.07557674,0.06383656,0.07490692,0.07403628,0.050091766,0.0019971882,0.021736981,-0.03904037,0.048493344,-0.056605604,0.064973146,0.07389917,0.05478507,-0.021806479,0.07349899,0.04485903,-0.03691558,0.06407839,0.048535697,0.022554183,0.021453613,-0.00025809536,-0.028248426,0.07935626,-0.021490902,-0.00022312386,-0.0087251,-0.0017484038
0.044075772,0.01069766,-0.048925206,-0.030845296,0.0841016,-0.066398546,-0.0517844,-0.05837379,-0.066668734,-0.06105603,-0.04151668,-0.064102106,-0.037711978,0.050658897,0.022205472,0.054282244,-0.06694419,0.013184535,0.042197783,-0.06058969,-0.04226857,0.080806255,-0.010452559,-0.010576131,0.016203936,-0.030779725,-0.016296158,0.038928635,0.054217976
0.029713463,-0.024386786,-0.02125969,-0.012866565,0.053846557,-0.055300355,-0.017566977,-0.0063399877,0.022288466,-0.03575918,0.0013492563,-0.046920575,-0.019165775,-0.0032428277,-0.042309053,0.056446202,-0.057572715,0.022058597,0.027946206,-0.009647744,0.009315905,-0.0071851225,-0.022024311,-0.051874526,-0.013535228,0.018984387,0.03279813,0.070320554,-0.054869946
-0.012371071,-0.018016202,-0.04218404,-0.030354103,-0.012182887,0.00075922644,-0.058099084,-0.038355287,0.05191837,0.042250127,-0.018810255,0.0050203446,0.0023170887,0.018531851,0.048434466,0.0153182,0.066282496,-0.01932837,-0.019736754,-0.02119718,0.06655922,-0.026933013,-0.025277166,-0.025465302,-0.023034466,0.045158397,-0.06755166,0.053062994,-0.0794736
-0.03869719,-0.024726046,0.030012311,-0.05758361,0.0044138525,0.029958257,-0.059011392,0.018791368,0.029285612,0.0075175688,-0.08804963,-0.063860595,-0.04774273,0.051302027,-0.017906062,0.03365501,-0.0938035,0.043002527,0.07736115,0.017658304,0.03903,-0.00012191443,0.017028958,-0.017911669,0.024718395,-0.019980703,-0.087069,0.019618833,-0.046143737
0.049101442,-0.030156199,0.004342495,-0.010417188,0.009905771,0.03185376,-0.004173378,-0.05632161,-0.006338845,-0.018620523,-0.034724522,-0.021842683,-0.056890022,-0.0060768058,0.02652927,0.007184886,0.08641426,-0.06864069,-0.0008791928,-0.009072989,-0.04948629,0.0208538,-0.009955778,0.066775925,0.033749662,0.013137521,-0.014429231,0.016703257,-0.059054304
-0.019989204,0.050904125,0.06397788,0.006957677,0.062116005,-0.017511243,0.0013887864,-0.018844392,0.0209724,-0.009065809,-0.0067306207,0.05171048,-0.07683749,0.0125121465,0.056925114,-0.04266653,-0.042093724,-0.002421293,0.013905832,-0.059126,-0.023181649,0.013336915,-0.006123275,0.011341941,-0.08486339,0.025475185,-0.050045427,0.056618493,0.05659694
-0.010659167,0.044619955,0.05962079,0.07228618,0.07654715,0.048944607,0.052171446,0.074166335,0.03440301,-0.054492045,-0.008968828,0.07367602,-0.0140324235,0.07301993,-0.059775453,-0.06922423,0.09150819,0.04978525,0.059648715,0.037772786,0.043695994,0.06859079,0.040127773,-0.011816306,0.022744806,0.033384062,0.044654705,0.04232455,0.03870118
