Birds,chick,dove,duck,flamingo,hummingbird,ostrich,owl,parrot,peacock,pelican,penguin,pigeons,rooster,seagull,swan,turkey,vulture,woodpecker
0.010008187,-0.019345738,-0.0021426172,-0.033401363,0.021415718,-0.020328768,0.02762905,-0.0053328727,-0.0049394253,-0.0071984953,-0.028372902,-0.018570833,0.0024244168,-0.021412604,-0.028184757,0.042747278,-0.063992426,0.06520226,0.028284732
0.027208695,0.020439418,-0.0040796753,0.03584516,0.03414423,0.008423478,-0.03291105,0.016857175,-0.0031450072,-0.0048215394,0.057809882,-0.010747719,0.050243013,-0.022054508,0.0443263,0.0029341606,-0.0073901457,0.011090252,0.06357498
0.069295906,0.03553804,-0.043116275,0.01090142,0.021701943,0.060604643,0.023399413,0.042038914,0.010754708,0.076896146,0.0663273,-0.0029146827,0.060784973,0.056653425,0.073852815,0.06687467,0.063133016,0.059009258,0.040726617
0.012780524,0.032646734,-0.038983736,0.049987666,-0.031073352,-0.022369618,0.053705666,0.0023344902,-0.009371141,0.004420915,0.0034186519,0.005245675,0.010304681,0.047370203,-0.03298566,0.019674595,-0.023993539,-0.021570954,-0.01533177
0.002158275,-0.012282789,0.06874574,0.0584853,-0.013509792,0.046072125,0.03724152,0.061556183,0.04934235,0.074867554,0.048036497,-0.04129296,0.06310151,0.04437251,0.06843422,0.06614493,-0.03935864,0.07306106,-0.017302107
0.015319571,0.043873046,-0.071225196,0.05690264,0.02415913,0.0415478,0.023087967,-0.06163361,0.062458184,0.074377,-0.0313159,0.012780973,-0.06891617,-0.021798711,0.020895107,-0.017606126,0.06540567,-0.053115666,0.07284405
-0.0077484883,0.061096545,-0.021846654,0.0494566,0.06346025,-0.0018859957,0.027020384,-0.004718259,-0.04300117,0.032383136,0.071253195,-0.0044486234,0.059010204,-0.041009005,0.053092342,0.05533548,0.07154152,0.010760309,-0.03042666
-0.0484459,-0.018604385,-0.022946069,-0.019517368,-0.01904933,0.019090157,-0.03146305,-0.005304085,-0.022355815,-0.0107577145,0.029079344,0.0008188263,-0.04557507,-0.01126245,0.01520506,-0.0198856,-0.013802342,0.0046598213,0.07470314
-0.07760635,0.012027194,0.044600334,0.025827236,-0.0046145045,-0.0066755572,-0.0024308497,-0.028972132,0.065349944,0.03630479,-0.05216041,0.00043132875,-0.07338002,0.018860936,0.016359648,0.023140915,-0.022165114,-0.010163949,-0.0288433
0.071118645,0.016186977,0.060671497,0.05504522,0.031349912,0.060853027,0.06517479,0.04079858,0.06105214,-0.00715908,-0.055860806,0.038773116,0.060582984,0.017938102,-0.01946418,0.021374704,-0.015537178,0.00039331985,0.07136901
0.07957972,0.021806728,0.035788015,0.06380646,0.069595315,0.068548925,0.07417303,0.07333642,0.07737644,0.07155651,0.05241268,0.06864775,0.07412497,0.07077298,0.02862881,0.078054406,-0.036669586,0.08271175,0.0794463
0.018892827,0.015278358,-0.049641307,0.008484932,0.013873439,0.03535154,0.067989655,0.044517193,0.05040232,0.0772109,-0.011365031,-0.0441143,0.023923617,-0.010167402,-0.028524138,-0.02879672,0.005278573,0.06319676,-0.03474815
-0.030918285,-0.009583391,0.02270519,0.038293652,0.0010610153,0.048348423,0.011187826,0.029785994,-0.040809054,0.035548113,-0.009636918,-0.012194888,-0.0049839336,-0.02717118,-0.018783364,0.021943236,0.0145445345,-0.04460099,-0.035041377
-0.034258448,-0.051808577,0.040378336,-0.06505733,-0.021695197,-0.032950185,0.024157576,-0.0404623,0.035573326,0.020072326,-0.042952538,-0.014808683,-0.044340968,0.04889729,-0.012723576,0.0016084253,-0.055169873,-0.016443985,0.020007685
-0.047670614,-0.07708279,-0.045619212,-0.06267332,0.008491504,-0.060004156,-0.0062257876,-0.07324752,-0.038164407,0.059931654,-0.030828059,-0.017636372,-0.036946863,0.010163141,-0.008848411,-0.03900187,-0.07418621,0.012606621,0.016013887
-0.03994315,-0.06314954,0.04877912,-0.026276538,0.016067237,0.009185974,-0.05952988,0.009686478,-0.018823188,-0.005439591,0.0052423347,-0.04417161,-0.016351838,-0.005986841,-0.02606456,-0.012785443,-0.035556085,-0.009586082,-0.031429637
0.046244364,0.048062645,-0.022659345,0.0621276,0.030195577,0.029268654,0.04566171,0.063142516,0.05906722,0.08213573,0.03746534,0.039891902,0.026760127,0.007058507,0.073337995,0.059464358,0.02518819,0.05061177,0.020898277
-0.023315188,0.013542533,0.015476249,0.06781823,0.012259477,0.0018119871,0.034542415,0.022296045,-0.025367431,0.010476873,0.038676623,0.008949865,0.03614841,0.044662077,-0.017707687,0.008826754,0.05593721,-0.031425033,0.02241584
-0.02239958,-0.031782713,0.012452406,0.058439292,-0.024797011,-0.050264664,-0.0017360589,0.026218966,0.04073011,-0.0039481493,-0.0636066,0.033311896,-0.06663466,0.049069278,0.017377501,0.0494113,-0.03938091,-0.013817145,-0.010234305
-0.06500479,-0.072569236,-0.034037612,-0.06574347,-0.0016889009,-0.025273556,-0.04214569,-0.063655406,-0.033549506,0.00394964,-0.03144399,-0.050649628,-0.036782242,0.021046698,-0.05440671,-0.06896052,-0.019740066,0.020943074,-0.019486807
0.061546013,0.03391416,0.04542542,0.027878417,-0.0261918,0.0005792665,-0.008307937,0.014355914,-0.0096147,0.0136575755,0.04183024,0.054345608,0.04296916,-0.023855356,0.04001863,0.04713565,0.052988034,0.0034146665,-0.028937625
0.026552238,-0.0063897236,-0.037371118,0.0675735,-0.048514545,0.0088914465,0.04167551,0.06297728,0.04672422,-0.03200457,0.066188574,0.035467062,0.03678544,0.04723098,0.03855657,0.03741279,0.065891884,-0.03977225,0.068132356
0.009446103,-0.05118592,0.057436176,-0.037629843,-0.008604774,0.053114075,0.020750172,-0.0020581025,-0.02448651,-0.016744591,-0.0067344406,-0.031208357,-0.0018728264,-0.01793419,-0.022547297,0.017435232,0.022108803,0.02019945,0.041287616
0.0034660401,-0.056723084,-0.06374031,-0.03897997,0.067633726,0.040400695,0.0006442064,-0.005498377,0.028375287,-0.04202554,0.002407478,0.040137853,-0.011833186,-0.074178256,0.0094546,-0.006552522,-0.018354509,-0.046034895,-0.044308055
-0.06673581,-0.03907706,-0.056650084,-0.028938068,0.03983497,-0.072566,-0.032191902,-0.06487294,-0.072893485,-0.035911463,-0.04503859,0.030179927,-0.05081099,-0.017641114,-0.049738582,-0.037612632,-0.035243884,0.017516527,-0.07549789
-0.009555762,-0.02166648,0.022673046,-0.07528844,0.063927285,-0.01981978,-0.005332242,0.006588842,0.0222819,0.05105252,-0.028023379,-0.04589609,0.07175088,0.06724627,0.067843616,0.064595364,-0.068600334,-0.012720334,0.006237605
-0.0607475,-0.071672924,0.0024475232,0.04816796,-0.0279946,-0.06848739,-0.07882832,-0.06578074,0.0067258286,-0.06628326,0.006457863,-0.05176902,0.0171654,-0.080026716,-0.06369966,-0.05746889,-0.057309132,-0.060838137,0.030997979
-0.05887589,-0.04251745,-0.01739607,-0.012635193,-0.0060094916,-0.04026495,-0.02674287,-0.023543902,-0.036196988,-0.06554331,-0.02519689,0.017434824,-0.061757702,0.021763394,-0.016587932,-0.029355569,-0.020916708,-0.0077274027,-0.05273144
0.028974118,-0.01989514,-0.00010965963,-0.027345002,0.007970678,0.004553542,-0.053415194,-0.047305178,0.06586269,0.02460682,-0.03380629,0.039058976,-0.023416242,0.0499243,-0.050197992,0.040893495,0.051026337,-0.0062311767,0.019252466
0.046555527,0.025778797,0.03474163,0.005218103,0.03844572,0.027664071,-0.04798858,0.0074437256,0.013939737,0.055430584,0.02277233,-0.014351282,0.058779515,0.022929909,0.0029692834,0.04166008,0.027910518,0.07467332,-0.03061508
0.0120616555,-0.016752206,-0.050258555,0.06663006,0.050380684,-0.003163619,0.052848283,0.06197338,0.05145186,0.07574441,-0.051142864,0.06567635,0.05814664,0.007955156,-0.008392074,0.0013640021,-0.06269468,-0.047552682,-0.020997725
-0.05487222,-0.02312223,-0.021907592,0.027635098,0.008457294,-0.03243904,-0.02367236,-0.043803792,0.044991996,-0.01846475,-0.030651832,-0.015768485,-0.052692838,0.06880385,-0.066061914,0.018910445,0.013310076,-0.020235518,-0.008408567
-0.06888559,0.01600165,-0.0046521127,-0.0032604553,0.04341842,-0.0722952,-0.014507596,-0.037162326,-0.037638374,-0.03485442,-0.0544001,-0.004119132,-0.059260674,-0.059733648,0.023161586,-0.046499934,-0.005615037,-0.03043994,-0.069846004
0.08380947,0.07656527,0.0700736,0.06564878,0.06934102,0.08354439,0.079168566,0.07806399,0.08039067,0.053248174,0.07486349,0.08108697,0.07463303,0.06818639,0.0742059,0.058259644,0.07225731,0.07284631,0.08073319
0.054280527,0.07241859,-0.04644182,0.058299717,-0.043788854,-0.017695505,0.023457779,-0.03829493,-0.048419483,-0.0043937024,-0.02247081,-0.019298445,0.019044228,0.026707564,-0.008440284,-0.027950127,0.062127277,0.040595304,-0.03909659
0.036593735,0.036595933,0.0664337,-0.05204301,-0.014098523,0.041077327,-0.061379425,-0.021607965,0.058107868,-0.061708234,-0.05633311,-0.0592045,0.05856368,0.04696208,0.066724755,-0.06704748,0.0128233535,0.0070028934,0.025463123
0.02228603,0.015281547,0.01333814,-0.018150557,-0.032985743,-0.007973594,-0.061771978,-0.0004936845,0.04592452,-0.029902397,0.011107332,0.0151713,0.021526204,0.061764345,0.022828633,-0.00709088,-0.015201772,0.010103824,-0.023102812
0.015562623,0.014450524,0.04530282,-0.012251979,0.016459849,0.03794015,0.070119105,0.046159394,-0.03283181,0.0062326826,0.07610342,0.045352917,0.031142505,0.021675564,0.06684183,0.042450998,0.06366176,0.074176215,0.06197022
-0.0066618896,-0.01973947,-0.051537413,0.06069328,0.047208678,0.0010975201,0.012320731,0.064711966,-0.052632276,-0.03314772,-0.034989357,-0.06589694,-0.0077343946,0.03582019,0.03817026,-0.050076723,-0.03336475,-0.04812966,0.009748864
0.042686757,0.058559876,0.05071966,-0.032328065,0.034317326,0.06903615,0.036775097,-0.0051396196,-0.025892187,0.022061048,0.07524504,-0.025004478,0.067439444,0.06714604,0.06416001,-0.0038723797,-0.03906874,0.0159354,0.04267503
-0.005081192,-0.011801972,-0.05684987,0.009249926,0.037797797,0.0019217896,0.04680516,-0.0133432355,-0.024040002,0.065014124,0.041160695,-0.0015219535,-0.031675808,0.02998496,-0.06107008,-0.038958613,-0.05655247,0.038734596,-0.039779987
0.029763486,-0.0042217458,0.019416282,-0.013276419,-0.05202006,0.04021286,-0.045086145,0.06409376,-0.04114637,-0.009860628,0.04033699,-0.009000932,-0.020773645,-0.020022057,-0.024057131,-0.013861496,-0.006954778,0.041073207,0.023312615
-0.029952483,0.0068460805,-0.07265403,-0.0048679337,-0.0059446613,-0.068761595,0.030113578,0.035002943,0.00258694,0.028272223,-0.05670171,0.010548339,0.0060250997,0.062585466,0.029075963,-0.012533132,0.030130386,-0.0011599406,0.0269039
-0.035625625,-0.0602432,0.007377795,-0.064228505,-0.041374967,-0.056079555,0.0059422203,-0.040755272,-0.040454976,-0.046920493,-0.046687588,-0.01974433,-0.0552111,-0.05820544,-0.06867541,-0.020698672,0.011395195,-0.032912288,-0.070457235
-0.0841125,-0.07182394,-0.02430594,-0.080643065,-0.085435785,-0.08368616,-0.08129609,-0.07814116,-0.08038265,-0.08538657,-0.08130655,-0.08220304,-0.07693652,-0.08125278,-0.07844838,-0.08300275,-0.057974543,-0.083807126,-0.08839598
-0.07910351,0.04472007,-0.07096963,-0.07058986,0.014179533,-0.015188126,-0.005080887,-0.022917185,-0.00026627354,-0.07156352,-0.04769398,-0.071818404,-0.058836315,-0.039852127,-0.023363553,-0.07434254,0.03373028,-0.0597124,-0.064465486
-0.022392096,-0.0016157487,-0.07201722,-0.042992532,-0.038407475,-0.033123508,-0.04730912,-0.03596664,-0.011741939,-0.033029582,-0.056481402,0.0024387196,-0.061368387,-0.023633419,-0.033256814,-0.0271087,-0.012640358,-0.05917911,-0.048894957
0.01438668,0.008342522,0.07185488,0.034645464,0.06297485,0.035021786,-0.018215204,0.018319035,-0.034739044,0.041452456,0.024093889,-0.032659218,0.040175613,0.05952698,0.05918617,0.063115574,0.043098517,-0.02704756,-0.015827147
0.0026780146,-0.01080257,0.042570256,0.006752444,0.08331979,0.05382143,-0.056473758,0.0074049914,0.042682,0.04126132,-0.01168562,-0.01378424,0.070115805,-0.045961507,0.0430518,-0.041256238,-0.04109846,0.050500773,0.014094489
0.029229214,0.017468525,0.04704637,0.06964614,0.054446112,0.06896828,0.06513439,0.020136373,0.020894252,0.06375973,0.07853816,0.04590046,0.033601735,0.03238786,0.045889787,0.05437987,-0.005569982,0.08298667,0.055452388
0.083735295,0.063128114,0.06977485,0.07558791,0.08559088,0.08308515,0.08050646,0.078127325,0.07971281,0.08492742,0.077174686,0.08183028,0.07606779,0.07860064,0.076955296,0.084840104,0.014090491,0.08250288,0.085867845
-0.03583458,0.025252791,0.0039972533,-0.042015195,-0.06261699,-0.054634266,-0.042599417,-0.04336883,-0.04228737,-0.017386695,-0.048041552,-0.025153536,-0.019237744,-0.021933,-0.0021740678,-0.038013987,-0.04022315,-0.049523093,-0.0031937822
0.06975922,0.07867575,0.05772151,0.0758585,0.0569382,0.042853147,0.07339887,0.074595466,0.062202834,0.0733984,0.041166417,0.08119694,0.06896698,0.073988326,0.06507171,0.0713217,0.07239161,0.040820885,0.07588247
0.0022194274,0.0505779,0.006487176,0.058096647,0.05808165,0.061748803,0.07628562,0.061059643,0.05615859,0.04491527,-0.019170823,0.057009142,0.0253657,0.057463676,0.018395321,-0.03197926,0.07431861,-0.0026094704,0.029724484
-0.00051559374,0.011667106,0.048661057,0.002759384,-0.06427069,-0.050325222,-0.023407027,-0.037879705,0.025519058,-0.05088486,-0.06528949,-0.061273795,-0.07143278,-0.0013798616,-0.06647246,0.014924757,-0.037582286,-0.06249671,0.051494732
-0.061032757,-0.056903176,-0.0737448,-0.053989086,-0.059224576,-0.07941923,0.021031104,-0.071714446,-0.06552463,-0.018447846,-0.02328304,-0.017605571,-0.068706185,0.01680425,-0.07490958,-0.079489276,0.0796264,-0.01926324,-0.037144862
-0.06345706,-0.040366128,0.058782917,0.013335305,0.054983933,0.034794956,0.038726553,0.010920416,0.049430795,0.0032327238,0.010636367,0.04900505,-0.007906078,-0.0060081664,0.008556989,0.021231025,0.0090898,0.04167236,0.023908608
-0.08227798,-0.031702008,-0.00933836,-0.07457663,-0.07914151,-0.058379937,-0.058276374,-0.027026122,-0.075668186,-0.074868776,-0.022619145,-0.020412594,-0.07311962,-0.049873427,-0.044089217,-0.08337821,0.059332278,-0.056579027,-0.083679974
0.042541675,0.061760917,0.045142956,-0.005072867,0.0716968,0.05109201,0.027238673,0.070340954,0.060652856,0.05122719,0.07615757,0.034537625,0.048126798,0.06854707,0.06924632,0.030962963,0.050473485,0.054495472,0.05127673
-0.083460346,-0.008320322,-0.04527834,-0.04158265,-0.07794767,-0.07701479,-0.08021761,-0.07862859,-0.07737171,-0.08375086,-0.07751718,-0.06809993,-0.0751827,-0.07881314,-0.07545168,-0.07985282,-0.01501391,-0.08110302,-0.0635866
0.008809816,-0.087120086,-0.027080432,0.04208896,-0.030177025,-0.048452545,-0.016727354,0.06252327,0.04098719,0.000893416,0.044855323,0.031223444,-0.046088755,0.030255554,0.048421167,-0.06595431,-0.024895687,0.01046615,0.03319621
-0.02852165,0.05289507,-0.024475591,0.03959005,-0.0124957645,-0.047857024,-0.03884164,-0.06762863,0.022866376,-0.020605862,0.01046381,-0.07171727,0.06415664,0.05331995,0.061693512,0.028245788,0.07013813,0.058407936,-0.049773745
-0.053455476,-0.08229758,0.0010018268,-0.061890706,0.004875811,-0.035527065,-0.04834566,-0.07157554,-0.07933481,-0.0077867843,-0.008570225,-0.027187476,-0.02355433,-0.04560491,-0.06856584,-0.043752257,0.07123464,-0.06271713,-0.03736619
0.045838922,0.06908685,0.047378223,0.04880136,0.049014177,0.028963603,-0.016587205,0.041545868,0.06474507,0.047060087,0.0601684,0.029483592,0.058180943,0.064833134,0.016755706,0.022664042,0.046781622,-0.0012246168,0.03523378
0.0509824,-0.0049000056,0.05836705,0.05375687,0.04114248,-0.03577141,-0.065172024,0.03663662,0.0429331,0.016990451,0.03941226,0.06167006,0.06449454,0.03078397,-0.034724075,-0.0031236943,0.074154936,-0.008017048,-0.023462646
0.062079605,0.03426358,0.04064156,0.048236396,0.04487701,0.027483702,0.050702736,0.0136477,0.051054705,0.030994307,0.05232349,0.062895134,0.040501267,0.011587207,-0.0028050845,-0.012945524,0.053953227,0.010006057,0.043085907
-0.047739506,-0.041235734,-0.02180355,0.030912658,0.009959635,0.013789062,-0.0110227,-0.045516416,-0.0063664867,-0.014959482,-0.06526393,-0.051818017,0.002421404,-0.039621886,-0.008832487,-0.028644904,-0.04026158,-0.0583287,-0.020444144
-0.031260252,-0.043133657,0.007184386,-0.004748016,-0.025666986,0.06307407,-0.047942422,0.03007255,-0.019802276,0.00889331,0.030993234,0.044794098,0.021728445,-0.0780554,0.048312668,-0.0042767855,-0.0522478,-0.031338893,0.0032010793
0.06693929,0.04576491,0.04854374,-0.03900636,0.017068505,0.012245389,0.002415822,0.056799628,-0.043677513,0.030330965,0.034196574,-0.016469553,0.030563174,0.06405336,0.023306152,0.03459651,0.06284778,-0.031452492,-0.010910382
0.008333518,0.011169966,0.05882446,0.0025324023,0.06514972,0.03468676,-0.0020378563,0.049258027,-0.024415243,0.05064094,0.019998299,0.022911904,0.021186078,-0.0468838,0.034781355,0.05101205,-0.011676228,0.06921838,0.010188546
-0.0799203,-0.049135596,-0.0762727,-0.053815957,-0.057529543,-0.067540675,-0.063619375,-0.07746089,-0.029289303,-0.061244477,-0.07016537,-0.060785227,-0.07600007,-0.0043186117,-0.07750931,-0.047957093,-0.040153094,-0.06180573,-0.07569793
-0.009475329,-0.012959536,-0.017165609,0.06450749,-0.018638954,-0.041342903,0.0165293,0.0044605234,0.010019079,0.009512175,0.047340233,0.012368908,-0.006916673,-0.047280263,-0.020236047,0.017993115,0.0049187955,-0.031101547,-0.0012392963
-0.06268202,-0.040770482,-0.07708722,0.05931744,0.08189149,-0.00552098,-0.050500765,-0.07177425,-0.051804844,0.026613925,0.05497402,-0.022928284,-0.020538617,0.036672432,-0.019834062,0.006368313,-0.040783335,0.0357424,-0.004265366
-0.0324696,-0.031178264,-0.014674882,-0.024252206,-0.04251766,-0.047590848,-0.048870474,-0.012026407,0.01739155,-0.019169802,-0.050614852,-0.044077497,-0.035217494,-0.029289138,-0.03292462,0.038654525,-0.026110547,-0.03642355,0.0015040373
0.065863684,0.0029002924,0.034853082,0.046895836,-0.06903212,0.018353013,0.00574719,0.05410571,-0.016813783,0.029410394,0.0078012566,-0.05789261,0.06564188,0.05606221,0.059022795,0.04803322,0.044983182,0.036661625,0.051544167
0.0065981806,-0.022736551,-0.0043810206,-0.013374659,-0.005503006,-0.05443125,0.02568735,-0.059834395,0.027407646,0.026730197,-0.032636702,0.0050106645,-0.012571722,-0.047241885,0.005247566,0.057211593,0.049343918,0.008504113,0.036292404
-0.06065881,-0.060033794,-0.07546274,-0.00018998515,-0.027009545,-0.0799464,-0.06549724,-0.07609958,-0.074976645,-0.04758646,-0.032357857,-0.038135868,-0.07510993,-0.009404729,-0.02411277,-0.029014094,0.016815482,-0.071929656,-0.03872451
0.020564394,0.051088933,0.028579108,-0.014483477,0.023225326,0.0061451923,0.05638626,-0.02363647,0.05044166,0.015537644,-0.051024035,-0.004003672,-0.0063624284,0.058757264,0.02037084,-0.046944607,0.030594476,0.030080684,0.022604471
-0.04089473,-0.023103354,-0.056996543,0.002199147,-0.04144943,-0.024085343,0.050284244,0.06078557,-0.04869513,-0.030899769,-0.056839675,-0.022990784,-0.029946562,-0.039252702,-0.06508399,0.019774932,0.024913792,-0.066316605,-0.0091505265
0.028314661,-0.0023441524,0.043394785,0.005100289,0.029969843,0.01849043,0.011224381,-0.025972936,0.026635278,-0.0039634705,0.039827514,0.021826845,0.004250574,-0.01672638,-0.038933728,-0.015032621,0.03249153,-0.03260086,-0.04858805
0.022548221,-0.042606726,0.028143035,-0.03651981,-0.060670074,0.043807838,-0.046192497,-0.049326863,-0.029560043,-0.06217295,-0.05088671,0.014526995,-0.05943087,-0.029071623,-0.03195725,-0.062860906,0.009458024,-0.073564604,0.027765477
0.016904263,0.0922523,0.07195724,0.019220278,0.024125094,0.017486759,0.07218671,0.022693487,0.036879726,0.07954941,0.04783473,0.06855723,0.055864185,0.07954674,0.07469934,0.060614605,-0.005367077,0.027368268,0.04139322
-0.06564597,-0.05942024,-0.025205035,-0.06618862,-0.050876327,-0.034486674,-0.055617284,-0.06335,-0.063287064,-0.061068125,-0.059734505,-0.064324096,-0.06618041,-0.058227222,-0.07055649,-0.06822346,-0.075117856,-0.04043456,-0.060384635
-0.06924163,-0.0700136,-0.014499942,-0.07453075,-0.03312162,0.012736798,-0.06626976,0.016198102,-0.05731021,-0.0020463415,0.025583854,-0.055048153,-0.05357996,0.058484923,-0.06966156,-0.0094113685,-0.070941165,0.013377242,-0.07469719
-0.046206743,-0.04100019,0.068585545,-0.05010413,0.012131814,0.033430044,-0.01864388,-0.026215656,0.019670498,0.0071883528,0.016110396,-0.037538726,-0.068584904,-0.05193236,-0.027042437,0.04754677,0.022703968,0.011736661,-0.005997313
-0.035121072,0.034906466,0.047838736,0.00037368372,-2.8256098e-05,0.04336168,0.020971667,0.03272387,0.040419225,0.030117204,-0.0044929725,0.037177898,-0.011961365,0.04191554,0.019395677,0.04490597,-0.024260908,-0.028180284,0.015718883
0.009789667,-0.049924895,-0.03878902,-0.042068325,0.010043988,-0.02237106,-0.06251197,-0.06914646,-0.021034196,-0.06417539,-0.0057083815,-0.042600397,-0.00986822,-0.062619746,-0.06094227,-0.032171395,-0.056255218,0.0023781597,-0.046850078
-0.0040426464,-0.018066367,-0.047754418,0.014958428,-0.050689187,-0.055829223,0.023462908,-0.04995839,-0.016706668,-0.0029358969,-0.055394746,0.0574671,0.05812271,0.014730694,0.049873486,0.055423677,0.031780977,-0.022486743,0.0019914012
0.03828906,0.0075734584,-0.06564255,0.004521556,-0.023605587,-0.05346165,-0.049000997,0.011935158,0.059101157,0.0053490633,-0.0030346604,-0.05393487,-0.021704337,0.0014905485,0.029025868,-0.0065034637,0.031586427,-0.032964755,0.0023404213
-0.013609979,0.030366303,-0.05575658,0.06457567,0.031507716,0.026461588,0.02448409,0.031341452,-0.014758866,0.04669717,0.025181193,-0.069578126,-0.055245727,-0.03507671,-0.023058567,-0.060659774,0.070362635,0.018953448,0.051017992
-0.058072757,-0.018466575,0.047919624,-0.062971726,-0.064642355,-0.024891976,-0.046830043,0.047001496,-0.063807815,0.0021622896,-0.0145201385,-0.071910426,-0.05676278,-0.05972857,-0.039949413,0.05116951,-0.06858026,-0.044812623,0.019956825
-0.027634978,0.022981472,-0.06906867,0.00918709,0.028704198,0.06881731,0.057064675,0.028331624,0.027156306,-0.020943925,0.03564697,0.06590073,-0.058943585,-0.037540507,0.042996813,0.004152178,0.012729724,0.04962568,0.00092359394
0.024958827,0.0019506667,0.003973716,0.042342946,0.04209409,0.04363289,0.019475413,0.04365975,0.055302553,0.04678993,0.04309597,-0.001613886,0.022959258,0.045282837,0.042319696,0.03483289,-0.0031593754,0.06250898,0.043805595
0.040622607,0.058338277,0.023132458,-0.04413096,0.010280848,0.06059618,-0.016450895,0.038432136,0.06740141,0.07613097,0.07111005,0.0005824817,0.02750694,0.055976845,-0.010361381,0.02101388,0.036217477,0.07954786,0.052064184
-0.0181248,-0.034097333,-0.012028551,-0.013366849,0.041576684,-0.020073991,0.048258338,-0.007408334,-0.06135839,-0.013964446,-0.053828917,0.0269094,0.011940044,-0.0016178514,0.00539847,0.055562314,-0.029643383,0.054953646,0.030141054
0.04015254,0.046904374,0.00806683,-0.064342864,-0.07030483,0.0074617825,0.030860363,0.0728595,0.008722563,-0.028631981,0.05047339,0.043963652,-0.009976904,-0.020371187,0.010025129,0.0439091,-0.0456196,0.03952437,0.033851728
0.030967092,-0.06865486,-0.050202835,-0.056396116,0.010377394,-0.03632012,-0.0019128871,-0.055676978,0.003802396,-0.011479837,-0.06690688,-0.017784866,-0.0053504244,-0.041078478,-0.022461789,-0.049658824,0.058543213,-0.03459135,-0.03181056
