Clothing,armor,boot,button,dress,heel,jacket,jeans,pants,pocket,raincoat,robe,sandals,shirt,shoe,shoelace,sleeve,slippers,sock,suit,sweater,underwear,vest,zipper
-0.044264343,-0.027832666,-0.051342834,-0.05848956,-0.049614243,0.042221934,-0.029893799,-0.00827894,-0.0008815984,-0.037585407,0.027803073,-0.018107023,-0.036434893,0.0152445715,-0.056363545,0.051850278,-0.025873959,-0.055163823,0.015812147,-0.07169329,0.008888049,0.007552534,-0.00014310812,0.04857954
0.031898323,-0.021971807,0.042783644,-0.017331557,0.001196445,0.027492667,0.029440455,-0.015111378,-0.025951037,0.009010501,0.0057113227,0.03245261,0.018431127,0.050032694,0.06298644,0.01157339,0.053333793,0.043614056,0.038198154,-0.002910949,0.04483414,0.023499543,0.03276068,0.0052563823
0.0124375215,-0.0045107827,-0.05399909,-0.031996347,0.01896909,0.07404368,0.00044779078,0.055543944,-0.012787998,-0.042670198,-0.048708636,-0.010618259,0.051638044,0.0067872056,-0.0135979215,0.03454475,0.020580208,-0.0136385765,0.015719295,-0.03253779,0.042655576,-0.008933379,-0.044098645,-0.05119787
0.026917957,-0.005717568,0.06991357,0.052916646,0.059933756,0.05131721,0.0665594,0.05545414,0.05885526,0.01602057,0.030851474,0.060477346,0.04789007,0.065289915,0.073576905,0.041610226,0.05788992,0.003629682,0.05602008,0.02841852,0.048130754,-0.011242989,0.01422473,0.044293556
-0.029605445,0.038707178,-0.002077239,-0.059538446,0.037989978,0.06339882,0.038193844,0.018019145,0.02132972,0.032477316,0.033055592,0.035654634,-0.045008287,0.015685692,-0.018548982,-0.01210981,-0.034647465,0.059389975,0.00915052,-0.013819291,0.06950697,-0.023077425,-0.022708422,-0.005266903
0.07322167,-0.03175585,-0.025432589,0.068604045,-0.013225796,0.0010470148,0.066195354,-0.0039574774,0.05071197,0.060813177,0.054181818,0.021178545,-0.03497664,0.084018394,-0.015656967,0.028556744,0.030883461,-0.014548604,-0.07654178,0.022375237,0.06638245,0.070572674,0.076840065,0.03395073
-0.063316375,0.017501632,-0.01769321,-0.064948834,-0.024267066,-0.069675244,0.060979713,-0.042892665,-0.006113799,-0.04644585,-0.015110648,-0.03702695,0.008459992,-0.04123355,-0.04677355,-0.012419298,0.043247424,-0.06884751,0.0043686484,0.037224323,-0.0007643115,-0.039147045,0.022964701,-0.006783636
-0.05163393,0.013587055,-0.011428004,0.00900932,0.04479179,0.030592391,0.04252126,-0.028116962,0.01381206,0.028296717,-0.011042386,0.06298599,0.0039794254,0.06689922,-0.029278275,0.03545834,0.053735152,0.021411626,0.012922387,0.015998267,0.029450843,-0.053746093,0.042990852,-0.004873921
0.00929861,0.0047712047,-0.037571773,0.01910392,0.031786885,-0.014489732,0.07489521,-0.0555814,-0.07302156,-0.00076220423,0.050635684,0.07423689,-0.06619893,0.07566386,-0.066056564,-0.031803377,0.051472593,-0.08445527,-0.02658919,0.015374718,0.056332123,-0.07352481,0.056592133,-0.025553802
0.009483821,0.04864953,0.049568813,-0.0063525406,0.016022643,0.039818965,-0.042641655,0.061267074,0.034912925,-0.0006745965,0.040789817,-0.007830111,-0.011325516,0.0062699043,0.04791699,0.063407674,-0.012896141,0.047616694,0.04597134,-0.022904165,0.049209077,0.018267712,0.007743336,0.040614758
0.036228016,0.08695747,-0.044807907,-0.009631403,-0.025212185,-0.05006725,0.016407095,-0.043331303,0.02149498,-0.020774107,-0.013743354,0.002378337,-0.014028994,-0.024082007,-0.0025976666,-0.038222555,-0.021713087,0.018050611,-0.026217746,0.018194553,0.0037663698,-0.037022624,0.06899184,-0.0008176195
