ItemNumber,Image,Audio,NormName,NameAgr,FrqPerMil.Log10,LOG10(SUBTLWF +1),SUBTLWF +1,SUBTLWF,VisComp,Length,IPA,AltPro,Morphemes,Syllables,Target,First Phoneme,CategoryName,Category-Level Cohesion,Item-Level Cohesion
430,robot_430_mono.jpg,robot_430_mono.wav,robot,1,1.11991541,1.119799097,13.17647059,12.17647059,3.909090909,5,rob?t,,1,2,robot,r,"Toys, Games & Hobbies",0.181773611,0.265631397
447,sandcastle_447_cmpd.jpg,sandcastle_447_cmpd.wav,sandcastle,1,0.033423755,0.032792513,1.078431373,0.078431373,3.666666667,9,sændkæs?l,sænkæs?l,2,3,sandcastle,s,"Toys, Games & Hobbies",0.151889613,0.202663799
458,sewingmachine_458_cmpd.jpg,sewingmachine_458_cmpd.wav,sewingmachine,0.85,0,#VALUE!,#VALUE!,-,3.428571429,9,so??m??in,,2,4,sewing machine,s,"Toys, Games & Hobbies",0.066499929,0.294727998
468,skateboard_468_cmpd.jpg,skateboard_468_cmpd.wav,skateboard,1,0.426511261,0.425968732,2.666666667,1.666666667,1.444444444,8,sketb?rd,,2,2,skateboard,s,"Toys, Games & Hobbies",0.24804654,0.309415652
470,skis_470_mono.jpg,skis_470_mono.wav,skis,0.8,0.371067862,0.37161107,2.352941176,1.352941176,3.714285714,3,ski,,1,1,skis,s,"Toys, Games & Hobbies",0.153865077,0.243690791
473,sled_473_mono.jpg,sled_473_mono.wav,sled,0.8,0.593286067,0.59345982,3.921568627,2.921568627,3,4,sl?d,,1,1,sled,s,"Toys, Games & Hobbies",0.136136651,0.288435228
475,slide_475_mono.jpg,slide_475_mono.wav,slide,1,1.274619619,1.274701057,18.82352941,17.82352941,3.5,4,sla?d,,1,1,slide,s,"Toys, Games & Hobbies",0.056685673,0.31437243
476,slingshot_476_cmpd.jpg,slingshot_476_cmpd.wav,slingshot,1,0.378397901,0.378789655,2.392156863,1.392156863,1.153846154,7,sl????t,,2,2,slingshot,s,"Toys, Games & Hobbies",0.220248468,0.304565616
854,sparkler_854_mono.jpg,sparkler_854_mono.wav,sparkler,0.95,0.024823584,0.024823584,1.058823529,0.058823529,3.153846154,8,sp?rkl?r,,1,2,sparkler,s,"Toys, Games & Hobbies",0.126699733,0.300090678
857,swing_857_mono.jpg,swing_857_mono.wav,swing,1,1.431048258,1.431048258,26.98039216,25.98039216,3.181818182,4,sw??,,1,1,swing,s,"Toys, Games & Hobbies",0.096057977,0.329485299
526,target_526_mono.jpg,target_526_mono.wav,target,0.8,1.590618948,1.590627691,38.96078431,37.96078431,3.615384615,6,t?r??t,,1,2,target,t,"Toys, Games & Hobbies",0.104123399,0.20826831
530,telescope_530_mono.jpg,telescope_530_mono.wav,telescope,0.95,0.595496222,0.595625881,3.941176471,2.941176471,3.266666667,8,t?l?skop,,1,3,telescope,t,"Toys, Games & Hobbies",0.1400154,0.245413094
533,tennisball_533_cmpd.jpg,tennisball_533_cmpd.wav,tennisball,1,0,#VALUE!,#VALUE!,-,2.777777778,8,t?n?sb?l,,2,3,tennis ball,t,"Toys, Games & Hobbies",0,0.238707544
537,thimble_537_mono.jpg,thimble_537_mono.wav,thimble,0.85,0.103803721,0.105343181,1.274509804,0.274509804,2.333333333,6,??mb?l,,1,2,thimble,?,"Toys, Games & Hobbies",0.219050139,0.311658592
540,tictactoe_540_cmpd.jpg,tictactoe_540_cmpd.wav,tictactoe,0.95,0,#VALUE!,#VALUE!,-,1,8,t?ktækto,,3,3,tic-tac-toe,t,"Toys, Games & Hobbies",0.159156013,0.312546398
555,top_555_mono.jpg,top_555_mono.wav,top,0.75,2.128496199,2.128500633,134.4313725,133.4313725,1.4,3,t?p,,1,1,top,t,"Toys, Games & Hobbies",0.018835007,0.237098817
562,trophy_562_mono.jpg,trophy_562_mono.wav,trophy,0.95,0.931966115,0.931916313,8.549019608,7.549019608,2.6,5,trofi,,1,2,trophy,t,"Toys, Games & Hobbies",0.104425217,0.252454447
600,whistle_600_mono.jpg,whistle_600_mono.wav,whistle,1,1.216165902,1.216191785,16.45098039,15.45098039,2,5,w?s?l,,1,2,whistle,w,"Toys, Games & Hobbies",0.027058715,0.287611575
612,yarn_612_mono.jpg,yarn_612_mono.wav,yarn,0.8,0.413299764,0.413003755,2.588235294,1.588235294,3.307692308,4,j?rn,,1,1,yarn,j,"Toys, Games & Hobbies",0.168524905,0.284043759
613,yoyo_613_mono.jpg,yoyo_613_mono.wav,yoyo,1,0.103803721,0.105343181,1.274509804,0.274509804,2,4,jojo,,1,2,yo-yo,j,"Toys, Games & Hobbies",0.302579639,0.337402242
21,baby_21_mono.jpg,baby_21_mono.wav,baby,1,2.707885138,2.707887307,510.372549,509.372549,3.2,4,bebi,,1,2,baby,b,Types of People,0.237361175,0.327574544
65,boy_65_mono.jpg,boy_65_mono.wav,boy,0.85,2.724947278,2.724950165,530.8235294,529.8235294,3.75,2,b??,,1,1,boy,b,Types of People,0.283545942,0.286552765
