Vehicles,airplane,ambulance,anchor,blimp,bus,canoe,car,golf cart,helicopter,hot-air balloon,motorcycle,rocket,sails,ship,stroller,submarine,tank,tire,tractor,train,truck,unicycle,van,wheelchair
-0.04569255,-0.059518315,0.029626556,0.026312416,-0.009131249,-0.042996615,-0.0018990244,-0.06961985,-0.02748411,-0.0025099434,-0.033879947,-0.049940452,-0.014905669,-0.023917384,-0.06481604,0.043827288,-0.043033212,-0.05306418,-0.06883967,0.027555738,0.01004337,-0.029463883,0.041202407,-0.033168476,-0.059862595
0.023288196,0.06107447,0.039823603,0.005883923,0.03349511,0.020371694,0.026800629,-0.0038794838,0.038880356,-0.04071106,0.023994312,0.03983864,0.0075200354,-0.050286166,0.006086198,0.033139694,0.020219699,0.018298207,0.009035546,0.03143662,-0.019394318,0.044320814,-0.028593931,0.03608913,0.019581314
0.04130886,0.046491712,-0.020924326,-0.01925144,0.013394739,0.016790075,0.032121878,0.04288933,-0.01311872,0.04462323,0.043190245,-0.009237513,0.048487395,0.033976432,0.009359728,-0.0326305,0.050003003,0.041026555,0.066225536,-0.037357338,0.056752376,0.03144553,0.047885366,0.031189123,0.059885025
0.027425816,0.05112452,0.03618634,0.009843342,0.011916013,0.06417129,0.05834964,0.068920955,0.0475577,0.06686606,0.030201942,0.020976301,0.04664402,0.04769055,0.06713633,0.06951912,0.040891085,0.053014837,0.04694135,0.04401676,0.054981194,0.061440434,0.05147265,0.066423304,0.064082935
-0.023030246,-0.008658056,0.070273004,0.0241889,0.0031637105,0.05038281,0.006041492,-0.030753888,-0.060186334,0.049164686,-0.040812504,-0.01431527,0.004137768,0.011779663,0.021357186,-0.057434265,-0.024070092,-0.011831552,0.041985042,-0.0022718313,-0.053555757,-0.008454123,0.052317515,-0.01407383,-0.02646619
0.013221225,0.019481145,-0.05837855,-0.0047406047,-0.06670522,0.041441135,0.06152865,0.04464487,0.07689644,0.06561379,-0.0365792,-0.05709773,-0.05618554,0.023635037,-0.025407631,0.054162167,0.0067502833,0.038618904,-0.011728907,0.018094203,0.055013366,-0.052623183,-0.001485201,0.036130305,0.0012068991
-0.04460896,0.07388682,-0.046859965,0.0077188932,0.04258233,0.052815553,0.07762764,0.027252914,-0.031488467,-0.001458255,0.042202655,0.020296747,0.055299547,0.065583035,0.030546378,-0.04494043,0.06318005,0.00015238668,0.037550148,-0.015969982,0.029013472,-0.03788501,0.051971518,0.04254585,0.041401133
-0.0050310213,-0.021770652,0.02551056,0.06436587,0.0051529645,-0.011775687,-0.025154127,-0.05399485,0.027448868,-0.0043146107,0.019621266,-0.03331676,0.004392609,-0.022275098,-0.023889193,0.0026035728,-0.006057713,0.0041549434,0.001992615,-0.023650456,-0.010474222,-0.01768643,0.027977273,-0.067471236,0.0016148891
-0.065336764,0.015147506,-0.035539288,-0.031222263,-0.03471106,0.035840206,0.012504381,0.011066073,0.054176632,0.037277315,-0.027978688,0.018434934,-0.035950195,-0.041358538,0.039334714,0.062671624,0.0032674763,0.008676253,-0.049633853,0.05268602,0.03925242,0.013635894,0.046556666,-0.053208757,-0.006187283
-0.03570125,-0.010499621,-0.056294147,0.017797632,-0.020038933,-0.014695103,-0.0037725468,-0.038526513,0.017364819,0.0033482404,0.026466666,-0.014445999,0.029633313,0.010321998,-0.061840504,-0.05928657,0.00883346,0.049683042,0.059491236,0.0394364,0.007930947,-0.019844951,0.042603534,0.016678263,-0.003333029
0.0442132,-0.039600123,0.08714207,0.022293508,0.035660844,-0.03676998,-0.043235894,-0.056556623,-0.06159709,0.01173532,0.07083772,-0.06560546,0.029914113,0.013217574,0.048202656,-0.016594931,0.0046555074,0.04793387,-0.021927588,0.027807869,0.008579772,-0.008503172,-0.018962715,-0.028757315,0.07194007
0.041323483,0.02522933,0.002075854,0.023259908,-0.011936893,-0.040264465,0.011005464,-0.02012447,-0.035853136,-0.0042113997,0.0013580619,-0.045351163,0.057748687,-0.04411557,-0.012124342,-0.05008321,0.032778166,0.0794832,-0.023723375,0.079859175,0.055552285,-0.004042139,0.023609692,-0.019555155,0.0072584525
-0.02269744,0.049952846,0.002445795,-0.060418952,0.067082725,0.013186542,0.008410266,-0.045041535,-0.044779245,0.012817884,0.04620004,0.032100067,-0.06926704,0.037194975,0.017329443,-0.024688045,0.042155355,0.00084030116,0.047800858,-0.021993496,0.001942149,-0.017982071,0.047275003,-0.047889933,0.05701287
-0.045944843,0.020353924,-0.056398243,-0.037624042,-0.024942257,-0.030390585,0.010417432,0.04118852,0.03264747,-0.05259798,0.02875103,-0.025182087,-0.028093003,0.009795291,0.0054544746,-0.05154976,0.00021821795,-0.040987678,-0.030401805,-0.03589979,-0.019150022,-0.027885864,-0.03663622,0.012934063,-0.030917091
0.045607064,0.029963037,0.0028919769,-0.014235712,0.029682245,0.014113714,0.01422501,-0.018487673,0.0059452937,0.07229668,0.04947801,-0.018991057,-0.015638016,0.06380055,0.022831723,-0.040966954,0.021020493,0.019652069,-0.016909232,0.046444077,0.066647954,0.058591645,0.00016394857,0.0022506039,-0.009072782
-0.0013712319,-0.04655289,-0.038154896,0.065123715,-0.049857527,0.005348999,-0.015845517,0.042959575,0.0491527,-0.030245159,-0.05001493,-0.0011729308,-0.002866326,-0.018749924,-0.01357792,-0.018361388,-0.039142735,0.0314998,0.040848836,0.010190219,-0.017659677,0.016873842,-0.07120985,-0.04310574,-0.03792124
0.05693388,-0.008645492,-0.087745026,-0.022762777,0.023448845,-0.025442826,0.0031560478,0.010840334,0.0348586,0.038833883,-0.017959682,0.03199941,0.0037550444,0.044662118,0.058077764,-0.073950596,0.025818832,0.06480698,0.05415677,-0.032531798,-0.008795176,0.023465982,0.069856666,-0.045698103,-0.06973443
0.016218534,0.06261966,-0.015453411,0.06983105,0.055196647,0.022677613,0.05238022,0.032430723,0.04227493,0.0701109,0.052322745,0.06175915,0.034951694,0.016196791,0.06058178,0.051159292,0.06608939,0.080471136,0.050840788,-0.019864043,0.036682643,0.042696483,-0.00462388,0.0011760658,0.07223608
-0.03047805,-0.025120858,-0.05035973,-0.015601881,-0.07909515,-0.025841635,0.057767827,0.042549502,0.0045134877,-0.00565515,-0.08187671,0.059504703,-0.03506212,0.014807979,0.0049637053,0.004475346,-0.0050317296,-0.06960924,0.020056846,0.038653005,-0.012509445,-0.007901585,-0.024258865,-0.04426437,-0.0287632
0.019212026,-0.044356763,-0.06919905,0.03526768,0.03630597,-0.08281383,-0.055286914,-0.027417148,0.011010546,0.006070089,-0.027656086,-0.01577582,-0.008790821,0.06598715,0.073786095,0.059951913,-0.008396285,-0.005608398,0.017947465,-0.00824386,-0.036974963,-0.019687975,-0.06803803,-0.008745615,-0.061830353
0.081801735,0.056100592,0.008755913,-0.002690167,0.040768832,-0.016673556,0.035326224,0.01432252,0.051420934,-0.03795552,-0.010739272,0.029545747,-0.04141553,0.037730727,0.02378899,0.0340294,0.043959025,0.012526734,0.017166503,0.054448042,-0.012573427,0.024364838,0.021605063,-0.012378488,0.008864349
0.0026191815,-0.059744988,0.033525113,-0.039158456,0.04140119,-0.00062358216,0.06254574,0.0099189775,0.05751279,-0.04346993,0.03316792,0.07879649,0.001045194,0.08303018,-0.010547517,-0.029311799,0.004152917,0.0030470619,0.008992455,-0.009043364,-0.0032494485,0.013784732,0.06818752,-0.07881882,0.0006590828
0.0185232,-0.052705143,0.032992803,-0.0070205806,-0.018930266,-0.06155858,-0.052094437,-0.027953222,0.028137278,-0.047906477,-0.024764078,0.0350505,-0.022052078,-0.029381704,-0.010435916,-0.03820606,-0.07869388,-0.0083794035,-0.0038190042,0.015893491,-0.059461407,0.00394791,-0.050356045,-0.041879654,-0.03407543
-0.03469132,0.043696992,-0.0744352,-0.025046267,-0.035866145,0.02725732,-0.061904427,0.015437378,0.0489927,0.041282635,-0.022025893,-0.0017807169,0.06317682,-0.06758365,-0.020357914,-0.016446501,0.018784013,-0.08412522,0.0487066,0.03165481,0.009773632,-0.0725222,0.021014722,-0.044699017,0.015274108
0.039790973,0.017487,-0.08067267,-0.045835238,-0.064782605,-0.019701334,0.05262198,-0.0043095504,0.009489917,-0.03899451,-0.035297275,0.018634398,0.013898423,0.0104219,0.0015796939,0.04529054,-0.054996807,0.0101861255,0.031608712,-0.018700676,0.01947518,-0.026693687,-0.030332081,-0.028982636,0.04618178
