Non Mammal,ant,bee,beetle,butterfly,caterpillar,crab,dragonfly,eel,fish,fly,frog,goldfish,grasshopper,jellyfish,ladybug,lobster,mosquito,moth,octopus,scorpion,seahorse,shark,snail,snake,spider,starfish,turtle,worm
-0.0750031,0.014559979,-0.038213328,-0.014193387,-0.018738367,0.012469216,-0.016708404,-0.032798145,-0.024482103,-0.07735303,-0.06912822,-0.038351633,-0.04515481,0.018140206,-0.002550517,0.006447647,-0.006744306,0.025713012,0.022184256,-0.017378364,-0.042881437,-0.03331818,-0.0312747,-0.06091177,-0.018682707,-0.032281395,-0.040855538,-0.020112613,0.015072549
0.045418542,-0.0014199348,-0.0341185,0.019003028,-0.03031674,0.05070726,0.0029111982,-0.009922824,-0.008973131,0.022302127,-0.03144654,0.018666042,-0.03942725,-0.0065397895,0.040363923,-0.012254729,-0.033855494,-0.0048765806,0.033115998,-0.043484572,0.01168962,-0.005540983,-0.020928336,-0.025229191,0.006298848,0.004006591,-0.013758859,-0.018665088,0.0077212844
0.007809,0.04773103,0.064801745,0.07653115,0.06349776,-0.020498915,0.006999953,0.042657748,-0.028601214,0.033705693,0.06831587,-0.039356463,0.013255659,-0.054816753,0.032066647,0.04393414,0.03609124,0.048938587,0.04936825,-0.03068487,-0.03754742,0.008146209,0.042607266,0.07247434,-0.035804812,0.046698984,0.05319077,-0.0015704761,0.010615437
0.0015503119,0.023503633,0.062193602,0.032816473,0.04025077,0.07242589,0.01531757,-0.0056326515,0.008264023,0.050123964,0.039853513,0.007856392,0.008290336,0.0334232,-0.0125537375,0.0190139,-0.00034536034,0.0061890497,0.04469913,-0.006439311,-0.023783842,0.0285453,0.03817955,0.05618933,0.046677634,-0.019505152,-0.033451013,0.040145226,0.01263097
-0.016645832,-0.023435792,0.010658914,0.019207593,-0.06943266,-0.07460764,-0.0062439046,0.049665812,0.050112724,-0.0054014735,0.035412114,-0.025620205,-0.014011073,-0.009994935,0.058750562,0.030007374,0.034772925,0.0062194522,-0.03711691,0.05932595,0.0052445126,0.026758127,0.021929406,0.009567716,0.012764312,-0.013317631,0.047764704,0.00804096,-0.02344435
0.045005314,-0.058182474,0.052270614,-0.07464772,0.041545518,-0.04752085,-0.057959583,-0.043526843,0.044232886,0.021589002,0.07025374,0.022284124,-0.07032946,0.027056884,0.026873881,-0.027426599,-0.06003352,0.047673177,-0.042154487,-0.038801834,-0.043487396,0.0147263035,0.056914255,0.014442472,-0.0752014,-0.051449195,-0.02667628,-0.05876976,-0.0783325
0.015520138,0.052677084,0.05615849,-0.012166501,-0.042668704,-0.07275555,-0.042534955,-0.028746644,0.011951819,0.013465692,0.012184836,-0.017581483,-0.022893632,0.042546056,-0.037827726,-0.061358683,-0.046611432,-0.026876478,-0.06251621,0.051065955,-0.07208191,0.024368027,0.0684289,0.04957744,0.02220541,0.013549072,0.043062788,-0.0441968,-0.041482918
-0.011049634,0.009609606,-0.015164833,0.027630767,0.0017505332,0.0375371,-0.033014912,0.044934798,0.009772878,-0.048296686,0.0055112364,0.00503808,-0.018640066,0.019381726,-0.030289657,0.054376923,-0.047942024,-0.06176596,-0.017089091,-0.007404944,-0.006449965,0.011695091,0.019627253,-0.0049103484,-0.0022068003,0.012162739,0.0064552333,-0.06482525,0.044035982
-0.053980414,-0.015918069,0.062858015,0.009558452,0.011244775,0.028316239,-0.03848855,0.0057486906,0.012676963,-0.03996062,-0.023597363,-0.018983847,-0.053119764,-0.04099925,-0.04401872,0.016388146,-0.008701314,-0.014947071,0.0011354348,0.023823008,0.0029079341,0.016121361,0.017979693,-0.01653712,0.048221745,0.005688274,-0.021764873,-0.017263865,0.011814674
0.06388399,0.035204332,0.025205798,0.019530308,0.06318761,0.013302899,0.01948675,0.007500304,0.079265475,0.054227673,0.050112512,0.044495124,0.057632238,0.022847386,0.0241024,0.0476087,0.006288234,0.06409724,0.06461579,0.03716801,0.057739887,0.030713674,0.020651087,0.063406035,0.04230393,0.05178552,0.011485744,0.028551629,0.066554464
0.08904407,0.062268253,0.0657547,0.08049951,0.069772884,0.076177016,0.07269794,0.08491875,0.07603549,0.08123268,0.057692982,0.07864175,0.061706644,-0.010018502,0.07765062,0.08028961,0.076447554,0.08006592,0.07674912,0.07321568,0.07476116,0.08233125,0.07317881,0.07734966,0.08095606,0.08079059,0.07318945,0.040060736,0.078935586
