Furnishings & Decor,ashtray,barrel,bed,bench,calendar,candle,chair,chandelier,clock,crib,curtains,desk,disco ball,dresser,fan,hammock,high chair,jukebox,lamp,magazines,mattress,mirror,piggy bank,pillow,radio,record player,rocking chair,rug,safe,speaker,stocking,stool,table,tray,treadmill,vase,wreath
-0.068924144,0.021721294,-0.020295328,-0.051063295,-0.03830754,-0.031238418,-0.019834338,-0.05630689,-0.011330347,-0.05015902,0.010707968,0.03855804,-0.060424645,-0.014038015,0.011000257,0.008988871,-0.0036983166,-0.06017673,0.019516662,0.021421531,-0.034438353,-0.05613356,-0.03558267,-0.015966717,-0.0003569015,-0.061250143,0.03676976,0.0388442,-0.039873946,-0.041542128,-0.044357777,-0.048126027,-0.044856057,-0.06826508,-0.008534837,-0.013013117,-0.04170349,-0.0020916052
0.055574134,0.049355056,0.0102145495,0.03930134,-0.013621965,-0.06988322,0.011611387,0.03837118,0.063254155,-0.04976865,0.05442266,0.055642992,0.063897274,0.017387021,0.036511246,0.02728558,0.032100327,0.03403609,0.018480044,0.03745495,0.031358283,0.0317483,0.041613575,-0.0069129923,0.050901614,0.013115006,-0.01763703,0.045881297,0.05652938,0.0145044215,0.045956373,-0.055966202,0.026659058,-0.0027118097,0.06546592,-0.005564931,0.05140321,0.028762242
0.032561045,-0.0229571,0.009537192,-0.0055934275,-0.005906135,0.022833103,0.07482864,0.055143762,0.0760629,-0.029525202,-0.031676974,0.04269128,0.011880318,0.0694641,-0.012004841,0.023499047,0.07056881,0.06389499,0.088762574,0.07292191,0.0636801,0.013131779,-0.0042809113,-0.03743854,0.05953023,0.06813826,0.08175587,0.07354452,-0.027353523,-0.0022987477,0.036002032,0.06551937,0.020421827,0.03572668,0.0147847,-0.06670481,0.0022213128,0.03908418
-0.00779776,0.019296996,0.0009966751,0.025959538,0.06298178,0.026499389,0.06402902,0.06730562,0.033732995,0.042202152,0.0483047,0.016166441,0.0625583,0.03868813,0.029804206,0.01720752,0.017613271,0.06410517,-0.003205642,0.061195556,-0.043430503,0.04899008,0.038533613,0.030049244,0.045941155,0.03374469,0.021511892,0.050318237,0.05314878,0.005440136,0.032865293,0.016490823,0.071804345,0.0311587,0.047481835,0.031076178,0.05547485,0.02389845
0.0077980594,-0.0322985,0.024157362,-0.017406575,-0.04203055,-0.071519196,0.007618393,-0.054103922,0.011575533,-0.028114934,-0.06310252,-0.0352708,0.015186651,-0.039508384,0.019746242,0.032269776,0.01874569,-0.027810775,-0.071764946,-0.015162141,-0.07302613,-0.06244076,0.0519427,0.02483772,0.049317393,-0.06066178,-0.026608808,-0.002265919,-0.048243355,0.013906837,-0.028040668,-0.04070096,0.002852805,-0.08529716,-0.017590927,-0.05166471,0.04173474,0.04943047
0.016025707,-0.08154616,0.012674914,0.02615241,0.05727139,0.03266544,-0.055034243,0.057828855,-0.08297433,-0.056746338,0.021411898,0.0007523759,0.029628512,-0.07172965,0.037773583,-0.0529859,0.0580007,0.030170823,0.008020273,-0.07266349,-0.034262374,0.020498157,0.06820783,0.06695312,-0.002598537,-0.052707706,0.05936868,-0.022201579,-0.026056096,0.046863038,-0.035409894,0.034066606,0.0036338463,0.012805746,0.048763506,-0.010534333,0.033276066,-0.07106838
-0.06960144,0.038612355,0.007472091,-0.028219065,-0.0020532536,-0.056941178,-0.013206841,0.07658391,0.019394713,-0.014167615,-0.044081803,-0.062672585,0.060854122,0.028964637,0.019260218,-0.0035181835,-0.018624073,0.07675985,0.0033255832,-0.040093917,0.04241112,-0.064241976,0.0489473,-0.036351528,0.00505327,0.012725249,0.004915483,0.078774616,-0.050271757,0.01119057,0.031027252,-0.012359754,0.031249965,0.00086818833,0.06447155,-0.023313912,0.0135452645,-0.052076295
0.018422382,0.07133093,0.00063697656,-0.01839816,-0.010106438,0.026464527,-0.03910805,-0.020635394,-0.015519046,0.061846934,-0.014567936,-0.0084660025,0.02261878,0.0015937036,0.015040118,-0.073453434,-0.009078427,0.0037839618,-0.017067207,-0.029693337,0.042395387,-0.05772591,0.08313982,0.04561014,-0.042332187,-0.05665708,0.047456916,0.043254152,-0.010799998,-0.01756234,-0.042972047,0.054403927,0.00568797,0.030512925,0.074408025,0.025350913,0.042712893,-0.0053825537
0.027622633,-0.046220854,0.070221014,-0.027301483,0.0028160699,0.05927286,0.015619951,0.03644583,0.004674179,0.012805023,0.010746311,-0.07694246,0.0027881183,0.007604368,0.04597094,0.047835622,0.0026476278,0.017734284,-0.061563984,0.03948265,-0.07628716,0.014531755,0.045471925,-0.006322129,0.018006153,0.007968671,0.060838636,0.047534417,0.039792705,0.020866925,0.056057557,-0.03846835,0.043067873,0.055014286,-0.00010485272,0.04213314,-0.0049929954,0.032313116
-0.03856479,0.022583209,0.031778123,0.032301858,-0.00059651566,-0.0455524,0.012057629,-0.035675142,0.034756817,0.02541633,-0.0011240045,0.029579315,-0.038025722,0.017665315,-0.028955227,0.05023603,0.020607634,-0.03208818,-0.02374065,-0.031320143,-0.006566657,-0.029873805,0.03437602,-0.052855693,0.055501003,-0.006438309,-0.035946097,-0.026450787,0.05759087,0.06557851,-0.011347189,-0.05002922,0.04787406,-0.005368711,-0.072785884,0.04918645,0.018302688,-0.031133726
