Musical Instruments,bagpipes,banjo,bell,clarinet,drum,guitar,harmonica,harp,piano,saxophone,trumpet,violin,xylophone
-0.05486552,-0.025571115,0.015637973,-0.039184567,-0.005565338,-0.019560566,-0.028383564,-0.01627965,-0.051963545,-0.04977831,-0.024884732,-0.027718881,-0.03377725,0.0058968095
0.024790773,0.06524463,0.045889862,-0.02707785,0.01702604,0.027633933,-0.026961382,0.017089687,-0.006849508,-0.03906276,0.030756498,0.022237927,-0.030802881,0.0032319732
0.08269324,0.0780885,0.027134022,0.0049864957,0.077293806,0.077570096,0.08508141,0.076369815,0.06883291,0.080171995,0.07827406,0.07477697,0.07548045,0.05763833
0.06837156,0.031818535,0.028028807,-0.012593569,0.038278617,0.08164427,0.033331983,0.029309656,-0.015401491,0.020243648,0.017959276,0.019903935,0.03937848,0.07597311
-0.07203101,0.03376477,-0.05293921,-0.017391562,-0.0485739,0.029842881,-0.012513137,-0.021464162,-0.03040248,-0.017660996,-0.05973668,-0.014732836,-0.04630467,-0.025949664
0.01939089,0.04266655,0.014461405,-0.038202763,0.0718231,0.0753031,-0.00504495,0.054008663,-0.020110693,0.03756442,0.07558718,0.058277976,0.029744407,0.03178714
0.0024877538,0.0465235,0.05394457,0.030546214,0.05377741,-0.0019581085,-0.030305503,-0.04015815,-0.025802486,-0.021269858,0.019484667,0.040299673,0.037211463,-0.017806096
-0.0039546266,-0.01671411,0.0018569765,-0.06807121,-0.046374843,-0.017738458,-0.01901084,0.00037280342,-0.011048411,-0.0025924942,-0.04149041,-0.021085467,-0.027088054,0.01691213
-0.014777118,-0.04953678,0.029368881,-0.017928107,0.02220485,0.031585336,0.047331188,0.040991146,0.03552696,0.028716654,0.045637194,0.012457077,0.062097903,-0.018545037
-0.034870867,0.014951309,0.030498324,0.017087253,-0.005953041,0.00080385525,0.014364968,0.05152662,-0.026075063,0.04676827,0.006291786,0.043685906,0.006223206,0.03070392
-0.025451744,0.040794514,0.016075118,-0.029478988,-0.04519026,0.017796114,-0.041897323,-0.0266795,0.036302965,0.0187374,-0.03467042,0.0033608417,-0.023203727,-0.016710449
0.009178367,0.021955045,0.07378658,-0.032017395,-0.009229448,0.023358222,-0.05409496,-0.023894172,-0.056968797,-0.014951499,0.05288802,-0.018481443,-0.004141287,-0.055777993
-0.0070813196,0.04272147,0.02911986,0.03979242,-0.009203953,0.007696068,-0.025438793,0.029553793,0.040008888,-0.015693227,0.011460506,0.035251927,0.06466849,0.051153183
-0.03138219,-0.047627874,-0.046801303,-0.02352657,0.013054628,0.03059325,-0.03327251,-0.029266546,-0.001347129,-0.02942801,-0.03772666,0.017359782,-0.011725681,0.04197763
0.072992586,0.05758225,0.016110009,0.026902746,0.0015958144,0.04433744,0.0671672,0.039777312,0.012939973,0.014154339,0.05002497,0.013274132,0.049130365,0.051729403
