,bagpipes,banjo,bell,clarinet,drum,guitar,harmonica,harp,piano,saxophone,trumpet,violin,xylophone
bagpipes,1.0,0.41443144480367633,0.28674572310835944,0.42177564443867244,0.45769128249807833,0.4043987521143446,0.573395458542877,0.590607372893518,0.4074299192440767,0.44316776480914655,0.5401653759499169,0.45849537000342533,0.31990466237327975
banjo,0.41443144480367633,1.0,0.2391569915459113,0.3864091739796298,0.3681039060759821,0.45713954911919363,0.44338485961091223,0.45024728446893314,0.4439652521925026,0.4065685293022506,0.3983818974460187,0.4690044898445267,0.34599820634457723
bell,0.28674572310835944,0.2391569915459113,0.9999999999999998,0.2505718116304805,0.28366275239297334,0.26208665013039045,0.1574353592338611,0.33093517575786646,0.33982740687252844,0.2852514296156128,0.4034486767585743,0.31545888267468203,0.1545854257572875
clarinet,0.42177564443867244,0.3864091739796298,0.2505718116304805,1.0,0.47899348775203177,0.46717239993524073,0.4959724209644123,0.4316262422603373,0.5514071573352889,0.7125150786495396,0.5860027239685974,0.4705491741032737,0.43162043183905163
drum,0.45769128249807833,0.3681039060759821,0.28366275239297334,0.47899348775203177,1.0,0.41046580060039894,0.42816034658247837,0.3459071871675464,0.4343337484921407,0.4208804822439056,0.46130523995756423,0.38970597972087795,0.37701486341857904
guitar,0.4043987521143446,0.45713954911919363,0.26208665013039045,0.46717239993524073,0.41046580060039894,1.0,0.48375766823549426,0.37294343062416535,0.6343258979291063,0.4463348722120326,0.43033924128812673,0.5184249596575715,0.32988888508615277
harmonica,0.573395458542877,0.44338485961091223,0.1574353592338611,0.4959724209644123,0.42816034658247837,0.48375766823549426,1.0,0.5997267441719966,0.5288248715697113,0.5220063099017468,0.4849082584380453,0.44432408653238786,0.3741348627719062
harp,0.590607372893518,0.45024728446893314,0.33093517575786646,0.4316262422603373,0.3459071871675464,0.37294343062416535,0.5997267441719966,1.0,0.4425508402263374,0.4104154608313453,0.4739491512090127,0.5322148079493558,0.3386598983699811
piano,0.4074299192440767,0.4439652521925026,0.33982740687252844,0.5514071573352889,0.4343337484921407,0.6343258979291063,0.5288248715697113,0.4425508402263374,1.0,0.5458981694225252,0.5292656612708017,0.5921308555023467,0.38908567994949417
saxophone,0.44316776480914655,0.4065685293022506,0.2852514296156128,0.7125150786495396,0.4208804822439056,0.4463348722120326,0.5220063099017468,0.4104154608313453,0.5458981694225252,1.0,0.6406208417602172,0.4956804906111554,0.4008285583610709
trumpet,0.5401653759499169,0.3983818974460187,0.4034486767585743,0.5860027239685974,0.46130523995756423,0.43033924128812673,0.4849082584380453,0.4739491512090127,0.5292656612708017,0.6406208417602172,0.9999999999999998,0.5213129808133498,0.29144948187257236
violin,0.45849537000342533,0.4690044898445267,0.31545888267468203,0.4705491741032737,0.38970597972087795,0.5184249596575715,0.44432408653238786,0.5322148079493558,0.5921308555023467,0.4956804906111554,0.5213129808133498,1.0,0.35952549697969827
xylophone,0.31990466237327975,0.34599820634457723,0.1545854257572875,0.43162043183905163,0.37701486341857904,0.32988888508615277,0.3741348627719062,0.3386598983699811,0.38908567994949417,0.4008285583610709,0.29144948187257236,0.35952549697969827,1.0
