furnishings,barrel,bed,bench,chair,closet,crib,desk,drawer,dresser,globe,hammock,highchair,lamp,mattress,mirror,picture,pillow,plunger,safe,sewing machine,statue,stocking,stool,table,treadmill,vase,wreath,radio
-0.05334156,-0.02029531,-0.051063247,-0.038307525,-0.05630689,6.42E-05,0.010707954,-0.06042465,0.000150996,0.011000303,-0.061179664,-0.003698316,-0.04935685,0.021421537,-0.056133553,-0.035582695,-0.057751294,-0.000356958,0.03473973,-0.04154209,-0.02296705,-0.048717864,-0.048126005,-0.04485601,-0.06826508,-0.013013112,-0.041703507,-0.002091612,-0.06125015
-0.004756599,0.010214512,0.03930134,-0.013621996,0.038371157,0.059444293,0.05442267,0.063897274,0.046784848,0.036511216,-0.056852724,0.032100327,0.049738474,0.037454966,0.031748302,0.041613545,0.044615384,0.050901614,-0.009950985,0.014504488,-0.042633835,0.018770454,-0.05596622,0.026659058,-0.002711764,-0.005564957,0.051403213,0.028762238,0.01311498
0.02799404,0.009537207,-0.005593424,-0.005906144,0.05514379,-0.015495656,-0.031676937,0.011880337,0.05973477,-0.012004793,-0.04732072,0.07056881,0.025760764,0.07292192,0.013131771,-0.00428089,0.034578856,0.059530225,-0.06577655,-0.00229879,0.028054642,-0.008218912,0.06551936,0.020421831,0.035726663,-0.0667048,0.00222131,0.039084192,0.06813828
0.020215323,0.000996648,0.025959514,0.06298176,0.067305624,0.04537745,0.048304714,0.06255828,0.038345937,0.029804189,0.048835736,0.01761328,0.0745807,0.061195537,0.048990097,0.03853355,0.04718864,0.04594115,0.017273398,0.005440067,0.02263147,0.028678527,0.016490823,0.07180434,0.03115868,0.031076174,0.05547489,0.023898464,0.033744693
-0.015011087,0.024157317,-0.017406598,-0.042030536,-0.054103952,-0.030337995,-0.06310256,0.015186705,-0.0114848,0.019746276,-0.059387118,0.018745707,-0.005007927,-0.015162155,-0.06244079,0.051942755,-0.03940123,0.04931736,0.045657307,0.01390683,-0.035474293,0.061965846,-0.04070091,0.002852784,-0.08529716,-0.051664703,0.041734707,0.04943045,-0.060661796
0.06194296,0.012674957,0.026152406,0.057271395,0.05782885,0.06210646,0.021411892,0.029628491,0.053030778,0.03777354,-0.004234536,0.058000688,0.038920164,-0.07266351,0.020498168,0.06820783,0.07422344,-0.00259853,0.050959565,0.046863034,0.019410113,0.05455618,0.03406659,0.003633817,0.012805757,-0.010534308,0.033276066,-0.07106836,-0.052707687
-0.002443322,0.0074721,-0.028219072,-0.002053288,0.0765839,0.038759578,-0.044081774,0.060854122,0.005711551,0.019260181,-0.024455126,-0.018624064,0.06068883,-0.040093895,-0.06424196,0.048947304,0.040790945,0.005053239,0.060485426,0.011190569,-0.07324971,-0.060880143,-0.012359774,0.031249948,0.000868209,-0.023313912,0.013545243,-0.052076295,0.012725247
-0.04730987,0.000636966,-0.018398166,-0.01010641,-0.02063537,-0.019301523,-0.01456794,0.022618784,0.061889358,0.015040184,0.018593203,-0.009078392,0.017459814,-0.02969331,-0.05772592,0.08313982,0.102337174,-0.04233218,0.06740774,-0.017562337,-0.023188235,-0.010995202,0.05440394,0.005688011,0.030512936,0.02535091,0.042712882,-0.005382547,-0.056657095
0.035469323,0.07022103,-0.02730147,0.002816095,0.036445852,-0.025707316,0.010746275,0.00278812,0.01094598,0.045971014,-0.040932037,0.002647618,0.002049457,0.039482642,0.014531734,0.04547189,0.026361935,0.018006207,0.03179482,0.020866942,0.0617013,0.01277919,-0.03846832,0.04306788,0.05501429,0.042133167,-0.004993001,0.032313064,0.007968664
0.029626276,0.031778153,0.032301825,-0.000596507,-0.03567513,-0.036853395,-0.001124016,-0.0380257,0.008920182,-0.028955225,0.011210295,0.020607667,-0.016517598,-0.031320166,-0.029873803,0.034376003,0.01571411,0.055501007,0.04049314,0.0655785,-0.010249412,-0.000566718,-0.050029226,0.04787406,-0.00536871,0.049186442,0.018302696,-0.03113372,-0.006438345
