Body Parts,antler,arm,beak,beard,black eye,bone,brain,bruise,chest,chin,ear,elbow,eye,feather,fin,finger,fist,foot,hair,hand,hoof,horn,lips,lungs,mane,mustache,neck,nose,skull,spot,stomach,tail,tattoo,tear,thumb,toes,tongue,tooth,trunk,wing,wrist
-0.072860405,-0.027272755,-0.04028628,-0.020824712,-0.025806788,-0.05316894,-0.04873501,-0.05670531,-0.061845656,-0.056375537,0.019479927,-0.02927,-0.017188184,-0.06421927,-0.06295889,-0.05592211,-0.06931109,-0.032745793,-0.07160825,-0.045427985,-0.07902397,-0.035889916,-0.025336294,-0.0035612602,-0.042358886,-0.027576089,0.025378345,-0.028517857,-0.03711661,0.010910289,0.0050689513,-0.051583223,-0.045943514,-0.044409182,-0.023644954,-0.05258844,-0.06240816,-0.0103032105,-0.03166566,-0.046637554,-0.023135658,-0.053243842
0.04513036,0.036839087,0.022340301,0.040041335,-0.009278023,0.06650626,0.02454762,-0.007674871,0.06795387,0.020446908,0.036966152,0.02952347,0.043628935,0.063494734,0.06822743,-0.057276208,0.0440207,-0.0013685509,0.040133197,0.016281953,-0.016170086,0.0150277,0.048427466,0.06546314,0.02375171,-0.032737117,0.03402723,0.05682034,0.07066766,0.052352045,0.029794237,0.05012203,0.0323021,0.03024841,-0.011947185,-0.01780049,0.05665296,0.019731097,-0.0227744,0.07840654,-0.001314557,0.043484334
-0.045030132,0.052409902,-0.048974358,0.03143892,0.060426407,0.061584733,0.049106434,-0.010217627,0.0689323,-0.05375098,-0.04601637,0.073599294,0.079643056,0.05719198,0.048174273,0.0145907,0.048055775,-0.019532122,-0.009437742,0.05611101,-0.021147767,0.057388607,0.055138156,0.001143971,-0.013772813,0.053560905,-0.0054902574,0.059982978,-0.03742097,0.022249432,0.028583856,0.012313283,0.065553956,0.061076116,0.07578313,0.032060247,0.018503183,-0.06922587,0.02383023,-0.01229709,0.059534453,-0.01931535
-0.014649518,0.055193644,0.018530553,0.06690116,0.0034234363,0.005075832,0.024518885,0.042169556,0.008815589,0.048346836,0.041403607,0.042225894,-0.01982223,0.067096144,0.010799335,0.04658706,0.019825643,0.036801666,0.059879966,0.037415724,0.031066623,0.052460022,0.014876159,0.045524105,0.058607385,0.014924531,0.054564793,0.044731077,0.01607694,0.004964397,0.023323407,0.01901616,0.045188196,0.014409843,0.05322826,0.0026324482,0.027539713,0.04575096,0.0559226,0.05262683,0.034888394,0.05047845
0.019832997,0.044710096,0.005460217,0.033908598,0.023472957,0.066930726,0.044354998,-0.018839153,-0.033871554,0.01809699,0.060723066,0.018948352,0.027824853,0.051321376,0.06220281,0.045750156,-0.050366323,0.046770852,0.03774294,0.015649933,0.017599484,0.040318355,0.07029386,0.04955712,0.03508626,0.039268218,-0.005578311,0.025343215,0.043087456,0.06568945,-0.00026590753,0.010967319,-0.0024056234,0.005245893,0.006682859,-0.040654793,-0.025493033,0.00832322,0.058802877,-0.0032968197,0.061459687,0.026962547
-0.04416554,-0.03937574,-0.006937852,0.07029909,0.011345434,0.055648033,-0.047856282,-0.008522856,0.0041590524,0.011162999,-0.005325442,0.012149816,0.034198202,0.032983504,0.056231767,-0.0776963,-0.020238357,0.07939118,-0.060777612,0.018380832,0.04264502,-0.02168782,-0.007715685,0.08073147,-0.06486558,0.02302859,0.06629035,-0.00726357,0.06546836,-0.07852591,0.018071463,0.049801778,-0.04602791,0.017708099,0.05546865,-0.045455877,-0.060484122,0.06627907,0.04507665,-0.0020798093,0.008388116,-0.007236421
-0.037966188,0.019696577,0.0025355571,0.009555182,0.004858968,0.060154766,-0.0011295599,0.04719885,0.028417598,-0.019451056,-0.028087897,0.041745044,0.06371547,0.043127354,0.0023202724,0.040578797,0.015184063,0.019886611,-0.046790563,-0.0018952063,-0.015077899,-0.0014485501,0.029828914,-0.03356954,0.019831054,0.061224874,-0.055985797,0.0024726049,0.029225152,0.072888754,0.010552235,-0.0343216,-0.028408825,-0.0014825633,-0.055491954,-0.042446893,-0.030388007,-0.045021936,0.027233196,0.019876195,0.030747106,-0.059153993
-0.015519339,-0.011572013,-0.023064485,0.024530951,-0.015270683,0.03632876,-0.06673701,-0.048348702,-0.019195283,0.0021842695,0.009439815,-0.028163945,-0.021463301,-0.043284312,-0.06968945,-0.010159796,-0.03444021,-0.030357905,-0.04184644,-0.032021634,-0.04171169,-0.03470541,-0.0034638802,-0.017016012,-0.06398429,-0.041168235,0.02155034,-0.01669215,-0.019430127,0.035653707,0.030061565,0.004410988,0.031964216,-0.03222732,-0.027160563,-0.018958779,0.007167145,-0.021321055,-0.0025666915,0.019349195,0.033427924,-0.013931769
-0.07087296,-0.00024706798,0.010051892,0.013570028,0.02788706,-0.00021991691,-0.0129836835,-0.03058883,-0.03217959,-0.0002966488,0.0065806764,-0.028369386,0.020619037,0.0070470395,-0.03721215,0.018951965,-0.019696789,0.02322253,-0.017213412,0.007632226,-0.006377842,0.018023275,0.027232733,-0.06691164,-0.05674558,0.03712838,0.049276248,0.009708552,0.003449214,-0.021079991,0.02697056,0.00465794,0.060909215,0.019687474,0.0038155504,0.014667875,-0.07916469,0.025493227,0.0014383851,0.029929632,0.011932662,-0.027095502
-0.025029903,0.030562866,0.020220436,0.030136617,0.031438556,0.051445562,0.05027111,0.07307433,0.075167134,0.04556375,0.060937207,0.023984034,0.055194706,0.055069696,0.048129797,0.018170506,0.05035104,0.06282472,0.023203678,0.064182036,0.0054157693,0.052946266,-0.005484608,0.07280987,0.06479039,0.05430888,0.023520993,0.028907422,0.03344724,0.032922342,0.049347915,0.07063531,0.028138733,-0.0057959724,0.05830528,0.07015047,0.03172069,0.073874466,0.041450474,0.033400614,0.011675723,0.03386566
0.07241487,0.07693915,0.046159312,0.08376304,-0.0015082876,0.019850964,0.06752299,0.075226955,0.03934827,0.050062288,0.017858759,0.042977348,-0.025443137,0.040130347,0.07477686,0.0056774695,0.0033813997,0.033121783,-0.0065638577,0.0021551044,-0.011573009,0.086722694,0.012985173,0.032533575,0.08252754,-0.037221927,0.041394223,0.035487127,0.05262529,0.0852134,0.012648724,0.050070696,0.07640055,0.07502543,0.00715112,-0.0031577921,0.050599813,0.0369179,0.048135974,0.017130608,-0.0020043764,0.014522978
0.0013291102,0.072874926,-0.021357954,0.0014264737,0.08037256,0.029520756,-0.009514287,-0.03459128,0.046120998,0.029523987,-0.013470256,0.08082528,0.03891665,0.08199346,0.069635786,-0.04673125,-0.086382136,-0.03782261,-0.01761713,0.09123363,-0.07397773,0.08611388,-0.02057686,-0.051708642,0.04506041,0.07562494,0.06959591,-0.007059815,0.013303614,0.0164319,0.03653988,-0.06442471,0.067773044,0.023687597,0.049393363,-0.041417178,0.004364711,0.009108297,-0.017384555,0.023267211,0.04108961,-0.06566398
-0.049759876,-0.022344235,-0.049150717,-0.026534898,-0.014462246,-0.03986865,-0.04514086,-0.06881337,-0.0043874015,-0.044771187,-0.05649896,-0.005417854,0.026057478,-0.014380122,-0.016366262,-0.017492892,0.022739833,-0.043573286,0.021522028,-0.018436192,-0.028397374,-0.013745365,0.03846495,-0.07085012,-0.052846212,-0.060310617,0.018343894,0.005324794,0.050336026,-0.0615505,0.03431,-0.011715277,0.034035593,-0.0070899157,-0.042461876,0.017835531,0.021888359,-0.018987704,0.034887858,-0.05211288,-0.044626154,-0.05664279
0.03531689,-0.025043298,-0.031605,0.04517661,-0.03319419,0.04343786,-0.029790148,0.04493786,0.0370338,0.046128932,0.02687874,0.04215296,0.033048358,0.06712358,-0.028620569,0.06883111,-0.027942581,0.0046697985,0.023506733,0.0076778717,-0.03659736,0.028155401,0.015405325,0.02670098,0.018863687,-0.06582478,-0.020005705,0.012542913,0.0098168915,-0.0010585919,0.07767944,0.04423798,0.021304224,0.023130318,-0.004849531,-0.0058944034,0.04266449,0.00015525789,-0.041846167,0.05080217,-0.022427931,-0.004047821
-0.059189886,-0.060165543,-0.009665602,-0.06428731,-0.0128508955,-0.026685644,-0.08608913,-0.06317437,-0.008237186,0.032946233,-0.04987105,0.0569181,-0.0062281764,-0.022303995,0.06669979,0.040723134,0.00725646,-0.0072199637,0.016058734,-0.038813617,-0.008577766,-0.020258432,-0.0038818934,-0.08232036,0.017614936,-0.02807816,-0.02822119,-0.055042367,0.026319662,-0.014848478,0.03389298,-0.07965426,0.06789107,-0.03174844,-0.0020396316,-0.029007452,0.022329127,-0.084943466,-0.085282594,-0.012264357,-0.008909612,0.022971828
-0.07797047,-0.0033534013,0.015496188,-0.034418374,-0.053989485,-0.014305232,-0.04448493,-0.080500826,0.015225074,2.1788968e-05,-0.06119631,-0.025149014,-0.030350441,-0.034638092,-0.04026456,0.011406272,-0.048404276,-0.06271606,-0.030065738,-0.04481536,0.0030849888,-0.014456573,-0.03709887,-0.044774514,-0.051170696,-0.005007035,-0.053374805,-0.03450014,-0.010657825,-0.020306248,-0.0012781369,-0.04874199,-0.020955322,-0.0032270832,-0.03243184,0.016815241,-0.04655922,-0.04154924,-0.024628848,-0.020377917,0.01467785,-0.022045046
-0.05796622,-0.05342512,0.017676419,0.048074152,0.053354926,0.020936891,-0.053555444,-0.04467883,-0.04012303,-0.027416432,0.032751065,-0.006083372,0.04441968,0.00083878246,0.07608801,0.008375286,0.018826248,0.025894662,-0.0011382555,0.038546823,0.00729409,0.01663328,0.0636944,0.05979332,-0.08216482,-0.009825754,0.05305737,0.024827505,0.05371188,-0.036708828,-0.0124569135,-0.07093011,0.04885639,-0.03221077,0.0002532766,0.015605951,0.005323062,0.014814215,-0.03461853,-0.003601055,0.031470545,-0.018895937
-0.046708245,-0.024887934,-0.040448613,-0.003188481,0.0043654307,0.02180719,0.02615976,0.038596794,0.05348369,-0.011483392,0.060346857,0.015146314,0.061802495,0.032715775,0.043515876,0.06870795,-0.004091612,-0.048118696,0.0267218,0.018127525,-0.045442063,0.015062102,-0.024905238,0.006017457,-0.026351633,-0.06612322,0.013665802,0.026344212,0.054641318,-0.058425892,0.0030360476,0.0070284447,0.060046654,0.053104132,0.007216016,-0.016842589,0.042736005,0.052106433,-0.0048958706,0.043034986,0.059374876,0.027598815
-0.013629612,0.01044666,-0.016325774,0.059491787,0.022528546,-0.00447411,0.014788352,0.044635355,0.046177536,0.0082737915,0.05319831,-0.06322663,0.0031804843,0.06069358,0.038314756,0.004872773,0.06286416,0.024188671,0.0060460037,0.035343885,0.012612806,0.047551394,-0.026398933,0.023798853,-0.033756323,0.05323073,0.035295557,0.029289283,0.0072054784,-0.067075364,0.03292036,-0.053026143,0.0093577895,0.022684956,0.05520271,0.051817413,0.014867319,0.04763366,-0.04553812,-0.08502601,-0.039281487,0.05193298
-0.010365507,-0.04989002,-0.03214595,-0.05768774,0.02719221,-0.027430123,-0.042966582,-0.023685116,-0.054073997,0.051575247,-0.014730562,-0.05753856,-0.061217275,0.013535497,-0.038652066,0.013175581,-0.04109068,-0.046437427,-0.011566829,-0.023380343,-0.0011968657,0.010056209,-0.06374251,-0.02851998,-0.025576858,-0.051911425,0.00645789,-0.064847805,-0.049168423,-0.052117392,-0.007187357,0.0051198914,-0.0052245655,0.016891904,-0.012205569,-0.0136966845,-0.012098534,0.0072450945,-0.04528795,0.025225475,-0.054290887,-0.04990556
0.018337665,0.024457285,-0.04718405,-0.01831383,-0.054650903,-0.063886024,-0.031710606,-0.03689086,-0.032605708,-0.01179474,-0.0051227324,0.0313958,0.05075129,-0.060715668,-0.0026533185,-0.05615706,0.009761884,-0.053497627,-0.016328007,0.015290172,-0.022271285,-0.05110101,0.031286992,0.023800775,-0.011025856,0.029069323,-0.047098864,-0.029903626,-0.009550258,-0.04102427,-0.0038188235,0.024697881,-0.031874366,-0.043322165,-0.04576597,0.006926481,0.028474296,-0.017937453,-0.01756765,-0.02389499,0.032977097,0.013077952
-0.0052711433,0.0804485,0.074361555,0.06724105,0.07878817,0.014428515,0.029791191,0.02955387,0.052040238,0.027358396,0.087587915,0.055711336,0.047074124,-0.0054258816,0.021336088,0.0070098457,-0.044950977,0.029278029,0.038915355,0.035760943,0.029495358,0.022015762,0.018252203,0.039766338,0.049922414,0.017881854,0.07004231,0.06827487,0.07099758,0.03898707,0.050009854,0.021928037,0.05756247,0.076038666,0.016951945,-0.031597566,-0.05155168,0.052041154,0.079606116,0.03910489,0.0067709507,0.035774514
-0.028668795,0.015219079,0.01635521,-0.022995008,0.034661666,-0.046613578,-0.0071763587,-0.031516965,-0.03775535,0.027706718,0.021187618,0.019245738,-0.020851782,-0.008774427,-0.020053172,0.068518996,-0.042068146,0.015990868,0.04189849,0.0007428551,0.0089013055,-0.042367302,-0.04982803,0.020347895,0.022184867,-0.04244025,-0.007077846,-0.011745562,0.036277004,-0.020473715,-0.052476514,0.042645905,-0.019154528,0.03755688,0.09696234,0.038916286,-0.04872607,-0.039010324,-0.011820057,0.025772296,-0.04454663,0.0017817967
-0.04912177,-0.0061276034,-0.043881193,-0.036089055,0.03419654,0.01969739,-0.035103817,-0.043833606,-0.0016805761,-8.1360624e-05,0.018695101,0.07057973,0.018440614,0.011596743,-0.048140045,0.025029803,0.006625791,0.014687466,-0.049542088,-0.04250002,0.0051751086,-0.026524488,0.0016867745,-0.06288282,-0.053313103,-0.039519142,-0.043867275,-0.04039044,-0.013369904,0.05843098,0.015188723,-0.04540596,0.009990704,-0.008886134,-0.01752435,0.014258383,-0.0503935,-0.053176157,0.0037801007,-0.043689877,-0.020615868,-0.046359573
