Fruits & Vegetables,apple,asparagus,avocado,banana,blueberry,broccoli,carrot,cauliflower,celery,cherries,coconut,corn,cucumber,eggplant,garlic,ginger,grapes,kiwi,lemon,lime,onion,orange,pear,peas,pineapple,plum,potato,pumpkin,raspberry,strawberry,tomato,watermelon
-0.028322536,-0.043919146,0.013270856,0.014642249,-0.06476954,0.002455317,-0.020485383,-0.025371024,0.010990513,-0.051223364,0.0480422,-0.022917446,-0.0050287354,0.030870441,0.034246854,-0.010588528,-0.011613834,0.021245465,0.00029608826,-0.014714484,0.04049056,0.040927548,-0.030550886,0.014079393,0.0024933184,0.0002606712,0.057606302,-0.041921433,-0.032669142,0.014149811,0.021565069,0.017371435,0.03121949
0.036099315,0.03201129,0.00078848284,-0.024528397,0.021205252,-0.01784178,-0.03889233,-0.042060256,0.016561314,0.04657127,0.009004597,0.023766508,-0.010988595,0.041344054,0.041394506,-0.024000477,0.01675984,0.019363996,-0.033572584,-0.019425564,-0.028468153,0.007452571,-0.022475973,-0.04425724,-0.04251394,-0.019505091,0.020803541,0.021905141,0.007252328,0.05137534,0.022910783,0.055253025,0.06695644
0.031469338,0.011909697,0.045071825,-0.04239784,-0.006217443,0.010380328,0.073148035,0.041954763,0.037312042,-0.07120622,-0.03627944,-0.058294646,0.054522064,0.01827168,0.0323649,0.04409359,-0.06322064,0.017208213,-0.04438019,0.009467724,0.046271455,-0.03263641,-0.011115068,-0.06301347,0.07372652,-0.006840535,0.0046480633,0.030020362,-0.0031154682,-0.062525384,-0.04220163,0.011385546,-0.054749276
0.033931844,0.036295034,-0.016010718,-0.019300837,-0.017262911,-0.02898008,0.029772341,0.048298303,0.02633674,0.042882364,-0.02409538,-0.018968241,0.036114637,0.028530318,0.0041101747,-0.011755788,0.009522705,0.041100066,0.0041940995,-0.036412384,-0.025807664,0.0024971825,0.029412145,0.039327484,-0.016402824,0.009285024,-0.02954595,0.039102018,-0.023802876,-0.033145007,0.0048710406,0.0397702,0.016205577
0.004263471,-0.0042885644,0.011050409,0.008467533,0.05104699,-0.018270256,-0.042275596,0.022458162,0.0024619282,0.050319362,0.028450454,0.053306367,0.021764476,0.021368632,0.041542064,0.062294986,0.05448078,-0.0012679799,0.025955629,0.037624244,0.062637806,0.023648962,-0.0098341275,0.038630586,-0.013713425,0.047244627,-0.016521676,0.016059978,0.059236057,-0.03441373,0.021499414,0.028729254,0.039013937
0.049746674,-0.04623363,-0.038283557,0.043540165,0.03035893,0.04100553,-0.01864662,-0.07378718,-0.0064099594,-0.058758974,-0.009937105,-0.059906024,-0.06900152,0.051855613,0.06894329,0.05250207,-0.04818897,0.03980596,0.054689925,-0.016899545,-0.02750623,0.062715404,-0.05928526,-0.0072951424,0.038378775,0.062371165,0.027009934,-0.057318807,-0.06782098,0.02633274,0.03634207,0.08248037,0.07760848
0.022759747,0.019537976,-0.03295005,-0.023780629,-0.01540104,0.037563458,0.01893896,0.015512083,0.055936918,0.06992892,-0.047547314,0.03145852,0.06730251,0.009882884,-0.03788432,0.057581507,-0.011502655,-0.026074393,0.03764009,0.032999005,0.014568141,0.038161557,0.0467781,-0.045238618,-0.01473774,0.03716053,-0.0013374096,0.05827302,0.045377407,0.010958657,0.0013898025,0.034738302,0.033242207
0.026672937,-0.07661459,-0.056998678,0.036113784,-0.043317463,-0.038008757,-0.012198869,0.025521776,-0.0060071787,-0.0013761768,-0.025104841,-0.009050615,0.031856302,0.0023610347,-0.0015358039,-0.057237837,-0.008183244,-0.023946274,-0.023544786,-0.058101047,-0.038406078,-0.00750423,-0.010429011,0.04723133,-0.011320534,-0.030413527,0.005060125,-0.033126283,-0.0066094236,-0.061035197,0.001782037,-0.0059452853,-0.021478457
-0.0713685,-0.043046426,-0.032748297,0.028957067,-0.007691664,-0.03050655,0.0089647425,0.0043153483,-0.011549421,0.017249439,-0.07131142,0.0128494855,-0.023567732,0.011881684,0.03183062,-0.0143850595,-0.0072636222,-0.07248907,0.0070997677,0.011426483,-0.0070057223,-0.053149685,-0.009334896,-0.018187549,-0.06438527,0.044738814,0.020913435,-0.008506615,-0.011331717,-0.0067838714,0.0054561766,-0.018029558,0.03959933
0.01995577,0.038709745,0.038316842,0.033358812,0.061098687,0.026642568,0.04728834,0.02349768,0.037315786,0.052114073,0.063452795,0.05790202,0.048858818,0.06232707,0.07258485,0.06756999,0.05297824,0.061466675,0.045499593,0.0423602,0.0135227945,0.06705249,0.040551815,0.05246461,0.074136935,0.03963314,0.06338504,0.052888647,0.037337027,0.041237462,0.031078035,0.04870431,0.07171924
