Mythical & Mystical,alien,angel,arrow,bow,crown,dinosaur,dragon,fairy,genie,ghost,halo,hook,king,knight,map,mermaid,monster,mummy,pirate,queen,skeleton,snowman,sword,treasure chest,unicorn,witch,wizard
0.011450748,-0.057388443,-0.037522893,-0.041097295,-0.041238688,-0.06003217,-0.03437469,-0.06705753,-0.056914445,0.018214157,-0.031359546,0.009696657,-0.017363388,-0.07300497,-0.0067560365,-0.057064846,0.034165226,-0.06711828,-0.013951417,-0.022087084,-0.02922949,-0.0147228865,-0.033638705,-0.021692531,-0.048019703,-0.051003486,-0.07201942,0.01506679
-0.030274637,-0.001353532,-0.007556384,-0.030299755,0.02048954,-0.011623642,0.04267667,-0.027737813,-0.01641891,-0.076226436,0.0062788185,0.05019271,0.008443087,-0.07653928,-0.03367902,-0.046445448,0.0005588375,-0.02067498,-0.012839088,-0.002422246,-0.059425693,0.020152368,-0.04279135,-0.030171884,0.00410038,0.014851358,-0.0623432,-0.039735455
0.04653072,-0.022439498,0.060549725,0.05139547,0.035500932,0.045729496,0.06700473,0.015640453,0.04689828,-0.015992401,0.013839101,0.04451777,0.048669066,0.031626362,0.01738505,0.030382441,0.022148993,-0.042063083,0.03133233,0.063132554,0.06915886,0.05316764,0.01784201,-0.0013722435,-0.012955009,0.053101674,0.04414378,-0.009016007
0.011230804,-0.041737538,-0.001202616,0.0480199,0.05725581,0.017552407,0.0168618,0.008028678,-0.021078419,0.03594859,-0.057459008,-0.050060716,-0.011907588,0.029047828,0.0017476548,0.040824424,0.021467617,-0.011158611,0.035892338,-0.05005284,-0.023049142,0.0089224605,0.020582242,0.053400964,-0.0074001323,0.011548462,0.027129656,0.014423945
0.033255287,0.02652882,0.025079967,-0.042449277,0.052901674,0.020870553,-0.05791348,-0.020916067,-0.052897822,0.015871465,-0.007630654,0.045876313,-0.034960113,-0.032310005,0.011072748,0.012332033,0.062163,-0.013835824,-0.022951128,0.04888804,0.065048374,0.052187175,0.017228963,0.0022887443,0.011968921,0.053196646,-0.017243668,-0.0502144
-0.011883451,-0.08282857,-0.050029512,-0.013356909,-0.0004775036,-0.038748205,0.011906953,-0.0076651084,0.059150055,-0.016768739,-0.0808041,-0.059019916,0.013279729,-0.06216989,-0.014790189,0.044845518,-0.05725901,0.04510906,-0.073599175,0.028526293,-0.055391006,-0.08443498,-0.030335218,-0.008529534,-0.049689572,-0.06748425,-0.015229546,0.0011906924
0.0050989245,0.04489372,-0.036265217,-0.011986919,0.0080527235,0.009117495,0.056438472,0.011737211,-0.026901541,-0.062481057,0.03765551,0.076225765,0.04742863,-0.023704011,0.06734409,0.02402839,0.012590193,0.012550303,0.06643533,-0.010376071,0.011854153,0.013904224,-0.0161177,0.06065507,-0.058972925,0.066538945,0.04857505,0.054355156
-0.009001624,-0.005224217,-0.0037305881,-0.03717139,0.008437759,-0.0060977205,0.0072648036,-0.017845768,-0.010091531,-0.018805623,0.0030655246,-0.05321619,0.034691043,-0.070192054,-0.021314591,0.022278495,0.016068645,0.045297053,0.057952352,0.012299565,-0.06239031,0.020696865,0.035894707,-0.02614581,0.06720616,-0.00811744,-0.002114749,0.0008562282
-0.04657143,0.0014085019,0.0010956092,0.012019184,0.019364985,0.031444736,0.013047632,-0.007144535,-0.04663387,0.014841082,-0.009399885,-0.022866603,0.026597438,0.009998875,-0.013536903,0.058858167,0.025032382,-0.012733633,-0.020737756,-0.004947357,0.050451268,-0.0008961775,-0.016380638,0.051340293,0.006147604,-0.008799273,-0.004701708,-0.030325396
0.041840658,0.011058796,0.013007009,0.015784046,0.02502359,-0.05890148,0.006527586,0.011109597,0.007183215,-0.04026887,0.03884191,0.04736324,0.00058632996,0.02231173,-0.022726683,-0.01009695,-0.016789593,0.028832583,0.05088582,-0.061277922,0.04514647,0.03284517,0.033427488,0.024616178,-0.02568473,-0.014101088,0.030132486,-0.011808581
