Food,bacon,bagel,biscuits,bread,breakfast,butter,cake,candy,champagne,cheese,chocolate,cookies,cotton candy,crackers,croissant,cupcake,dough,egg,egg rolls,honey,hotdog,ketchup,mustard,pancakes,peanuts,pickles,pie,pizza,popcorn,pretzel,rice,salad,sandwich,shrimp,soup,spaghetti,steak,sugar,sushi,syrup,teabag,waffles,wine
-0.06277099,0.0048743705,-0.012348639,-0.0068888604,-0.03085842,-0.06359953,-0.040116236,-0.04733927,-0.06165526,0.02969366,-0.015016687,-0.0022939774,-0.028732333,0.002918534,0.007895381,9.796743e-06,-0.030737747,-0.024533723,-0.049959403,-0.022890963,-0.012052622,0.052648306,0.061488558,0.05884651,-0.017536446,0.0012656101,0.055298403,-0.01945483,-0.014118082,-0.032509476,-0.009844861,-0.05043721,0.003513687,0.025670296,-0.021428969,-0.037885435,-0.04879472,-0.005014763,0.01431916,0.013912345,0.0012138054,-0.002018903,0.033487156,-0.056222282
0.0074164574,-0.011186935,0.013893539,0.014384537,-0.025560195,-0.020002743,0.002465377,-0.0011853598,0.032584608,-0.009429823,0.003228515,-0.033969425,0.036752224,0.06278992,0.05779517,-0.042152867,0.050610103,0.031398933,0.020213038,0.012399885,-0.007324332,0.001590116,0.0076621845,0.033471026,-0.004013108,0.04312679,0.03957885,-0.0183052,-0.040298246,0.057479978,0.01514145,-0.0016662788,-0.00065700326,0.016379422,0.036261983,0.011387526,0.030329777,-0.038794555,0.021150058,-0.02843191,0.018819787,0.030112797,-0.004036595,-0.0022946717
0.069221005,0.046258457,0.036473237,0.01057646,0.03289878,0.047342893,0.0060322364,0.06025106,0.06547091,0.0077810055,0.0610074,0.02652126,-0.045332897,0.07596654,0.02324949,0.08650188,-0.005191976,-0.023737816,-0.015007258,0.06270906,0.039493408,0.047136344,0.06419407,0.07692359,0.07122442,0.049447764,-0.011992029,0.047118235,0.020058332,0.069724135,0.058744825,-0.02263259,-0.001457228,0.046179324,0.07414089,0.06908518,0.07373498,0.051285803,0.061661292,0.026619038,0.054141868,0.0047435365,0.07016436,0.03551316
0.05824038,0.018224172,0.044149034,0.022233821,0.06499462,0.011545878,0.05589428,0.038633782,0.03488326,0.021114444,0.048356477,0.00976427,-0.0015820905,0.026309665,0.025057055,0.051758662,0.001707931,0.06652735,0.07560403,0.045450702,-0.01846796,0.04917451,0.029735053,0.02547918,0.010214877,0.01818569,0.031379562,0.011141075,0.049051665,0.032832835,0.04956293,0.045355573,0.020435568,0.03600826,0.020174457,0.030314295,0.037309412,-0.020365516,0.033299834,0.023736037,0.024461716,0.047597244,0.0012560071,0.055028565
-0.003572534,0.046149127,-0.01956789,-0.032700803,-0.036918152,-0.03948649,-0.008087473,-0.039995532,-0.06596542,-0.027233088,-0.0067777666,0.013879631,-0.053588748,-0.025101239,0.052231487,-0.069036804,-0.050783653,0.017206049,0.03554956,0.031430203,-0.08148566,0.025922915,0.047075577,-0.0080562495,-0.02618649,0.006386722,-0.050817303,0.006629325,-0.0051290505,-0.010335555,0.054179855,1.15370985e-05,-0.029328385,-0.014288432,-0.0077628875,0.029122237,0.009742951,0.03778804,-0.025300689,-0.03855544,-0.019523432,0.061873794,-0.06233921,-0.053190388
0.06416405,-0.026885634,0.03767222,-0.04952383,0.07539413,0.07891575,-0.043852214,-0.05772217,-0.059624027,-0.021941457,-0.052404556,-0.049583748,-0.035695247,-0.0067237723,-0.022677576,0.037710097,0.03335505,0.03783687,0.044931643,0.04274113,0.04719602,0.04757195,0.03427643,-0.019989688,0.054723985,-0.052667305,0.07686067,-0.07701225,-0.0026953171,-0.06903401,-0.046310432,0.055610344,0.05248802,0.0652783,-0.028651636,0.077177994,0.068326235,-0.06341736,0.058712926,0.0031184833,0.008258082,-0.03382919,0.0012807925,-0.032101575
-0.0046084975,0.03788072,-0.029343652,-0.0465216,-0.048261482,-0.023155268,-0.054444134,-0.014527474,0.036477637,-0.033618033,-0.068255015,0.015399766,-0.046886656,0.06541228,-0.034752093,0.01587707,0.0021681064,0.0061438675,0.045533586,0.02557119,0.06392742,-0.066389196,0.050189685,0.040312387,0.05129297,0.027932161,-0.040011514,0.023846474,0.043508608,0.048882667,0.029469505,-0.013733538,-0.01126485,0.001959142,0.03566006,0.029681344,0.050754264,-0.014878536,0.024547566,-0.00845435,0.037180606,0.019276142,0.017933331,-0.039621376
-0.03570866,-0.04042853,-0.049411274,-0.023859765,0.016253686,0.014650871,0.028372675,-0.052279223,-0.023866728,-0.019224333,-0.04957192,-0.04627186,-0.038298264,-0.03710467,0.050277747,-0.004582497,-0.04577545,-0.006769066,-0.016474554,0.044372533,-0.016655404,0.015354418,-0.030803008,-0.015448648,-0.033506237,-0.05622869,-0.043993935,-0.061600696,-0.06070822,-0.048071243,-0.026266748,-0.020369735,0.012839143,0.04831159,-0.0029911124,0.035795905,-0.024332678,-0.044014797,-0.027266039,-0.053032037,0.021212451,-0.036339104,-0.017865472,-0.04761647
-0.022302179,0.03298865,-0.053435896,-0.07505342,-0.02287743,-0.041558485,0.03268871,0.0032212771,-0.04752465,-0.05900827,-0.0194751,-0.002580899,-0.0766226,0.027676905,-0.0781793,-0.020742876,-0.05845079,0.00067576044,0.028577732,-0.07446867,-0.0029087905,-0.008298993,0.019729504,0.04076286,-0.072657496,-0.07973719,-0.072198026,0.030672764,-0.022889594,0.009736409,-0.043605767,-0.0357942,0.015855849,0.0072405115,-0.053824183,0.011072616,-0.022644898,0.022359697,-0.052098945,0.04617139,0.023005415,-0.002164237,-0.07051638,0.013210725
0.030971786,0.037585646,0.036461387,0.04833739,0.06673538,0.06857299,0.045844004,0.026687,0.0079781655,0.012182551,0.05487673,0.06071926,0.038669642,0.048610475,0.06729354,0.026325682,-0.0005429411,-0.022338279,0.053036995,0.023291409,0.051301777,0.048381235,0.043936796,0.051895484,0.04855418,0.0017607198,0.047067907,0.045364145,0.04335304,0.049773656,0.031682536,0.04225828,0.02872169,0.0010074606,0.060713135,0.015957281,0.060017154,0.044868957,0.02348398,0.030961437,0.032376837,0.06334477,0.059199143,0.032146387
