Tools & Hardware,axe,battery,brick,broom,bucket,chain,dustpan,flashlight,flyswatter,funnel,hammer,hinge,hose,iron,ironing board,jack,key,ladder,lawn mower,light switch,lightbulb,lighter,magnet,match,mop,mousetrap,nail,paintbrush,plug,rake,rope,saw,screw,screwdriver,shovel,springs,thermometer,vacuum,wrench
-0.06020952,0.013518593,-0.06472195,0.0015720249,0.029371647,0.0087599605,0.0050851437,-0.026253598,0.010576525,-0.0030198013,0.04477475,-0.044969562,-0.0037604542,-0.004905527,-0.010550427,-0.017722292,-0.010881191,-0.06408318,-0.04819689,-0.0031088635,0.003218023,-0.010856515,-0.012845815,-0.015750844,-0.07104619,-0.053863388,-0.020379119,0.0048881546,0.032579068,-0.045927573,0.012959992,-0.023282731,-0.032522462,-0.051930994,-0.034171175,0.00560028,0.038766507,-0.03223556,-0.041905478,-0.0261223
-0.006500811,-0.04894037,0.0050318255,0.021959469,0.003500915,0.0050396053,-0.05033022,0.0023755315,0.0050872765,0.02746901,0.016422283,0.01894797,0.01541065,0.018854752,-0.01818312,0.018839236,-0.032843117,-0.047088448,-0.034053985,0.018214345,0.014948709,-0.0021500504,-0.04555926,0.010936652,-0.06552756,-0.013877176,-0.025613623,0.03466863,0.009703342,0.021691823,-0.013412382,-0.019694814,-0.042820305,-0.005308871,-0.008289538,-0.017365977,0.022246579,-0.0420735,0.008798195,-0.058499776
0.010484215,-0.036034066,0.07011099,-0.0617129,0.0411055,-0.003949947,0.023830071,0.018115895,0.06887496,0.076059505,-0.007817229,-0.004125129,-0.063199386,0.02424605,0.05801833,0.03823046,-0.031409223,0.006246996,0.004865172,-0.06678593,-0.023679726,0.048535775,0.07392841,0.06845804,-0.03919331,0.06919172,0.049102306,0.070011765,0.06321497,0.058062434,0.0021259794,0.042748023,-0.012814699,0.010993059,-0.05441228,-0.06014051,0.02114593,-0.026469987,0.027775086,-0.03740254
0.017198898,0.046213422,0.057852652,0.069626644,0.04878312,0.033392552,0.043351345,0.029773723,0.04794864,0.049470432,0.03263389,0.073942594,0.059714466,0.072120465,0.025454495,-0.00011419013,-0.0132561,0.046936926,0.06766518,0.06908235,0.04621331,0.06613451,0.030197779,0.041909594,0.07034083,0.02493665,0.03547834,0.052545525,0.05282829,0.05293888,0.061378375,0.07247925,0.047747772,0.0865475,0.07202871,0.033774313,0.033309978,0.036594834,0.035988867,0.06939712
0.008130866,0.029061487,-0.01288538,-0.01197861,-0.020451913,0.01216076,-0.029703023,0.022718087,0.061762527,-0.0036780455,0.050063368,0.02738343,0.030055782,-0.0018568346,0.032919858,-0.005905847,-0.07064171,-0.01711983,0.033924676,-0.049704913,0.041875847,-0.00055680185,0.008350685,0.036881573,0.055518217,-0.020100096,0.035578534,0.0039540054,-0.013461642,0.020984989,-0.06610933,-0.026944457,-0.07115646,-0.027402423,0.05752278,0.029234461,-0.057467286,0.021142848,-0.030906413,0.05408593
-0.044858854,0.058467638,0.0015741005,-0.037073273,-0.023956442,-0.07050052,0.051525887,-0.063398875,-0.067502655,-0.016016662,-0.054878384,-0.047304843,0.0011737491,-0.044850834,0.030766292,0.069295585,0.017295886,0.050506264,-0.053413805,0.053853218,-0.06866006,-0.058730554,-0.077036366,0.05615255,-0.053353146,-0.030639568,-0.042865206,-0.07824912,0.052812118,0.013076939,-0.04274744,-0.07485325,-0.062408186,0.028603071,0.012920345,-0.06200926,0.0754662,-0.06960017,-0.051704288,-0.01070805
-0.01417505,0.06594792,0.05247602,0.03510588,0.068332605,0.015037042,0.011640535,0.030947464,0.022213345,0.05424444,0.05467448,0.027693028,-0.029511876,0.049712196,-0.01966395,-0.013300629,0.008707351,0.042287998,-0.030375982,0.039252043,-0.007437768,0.017507074,0.04736371,0.06454164,0.021103347,0.055820525,-0.043404054,-0.00022981135,0.0020091967,0.05749491,0.01999893,0.018410064,0.041060857,0.038649764,0.048064854,-0.01919629,0.032432377,-0.00922083,0.05362343,0.036582083
-0.0057624215,-0.04901671,-0.020897554,-0.040384654,-0.019064818,0.001606936,0.042687703,-0.023309093,0.021716159,0.014368725,0.04653537,-0.011438084,-0.015873285,-0.0022232796,-0.016924508,0.020706894,0.0051100957,-0.02445135,0.033453107,0.011699475,-0.024816303,-0.06684007,0.037871774,-0.017585749,0.073286004,0.012521772,0.019139571,-0.04452772,-0.020991514,-0.017099746,-0.011747447,0.046635374,0.044855114,-0.0065411646,0.03286036,0.057835776,-0.01922311,0.041876283,-0.048901364,-0.04186969
-0.0011142285,0.054881696,0.058243163,-0.031164894,-0.013092138,0.018214442,0.048853006,0.033556502,-0.005202568,-0.03338133,0.017882248,0.036554277,-0.024817184,0.0718697,-0.03297009,0.04874173,0.019580144,-0.023643862,0.025713738,0.050765555,0.010482634,-0.02260848,-0.012326299,-0.05658031,-0.0060508475,0.058930356,0.024405157,-0.022593396,0.06003769,0.037805293,0.04164838,0.027874598,-0.01691261,-0.0291712,0.028245827,0.065388404,-0.06920529,0.04021931,0.029118149,0.007851829
0.019131558,0.045514967,0.024488322,0.050628576,0.020888982,-0.03432476,0.022589903,0.048151582,0.011546024,0.084988296,0.046083696,0.061731447,0.062483672,0.007675529,0.035011698,0.013816519,-0.009884036,-0.011914295,0.017311191,0.02843023,0.06631131,0.046652686,0.045107994,0.048300803,0.057617977,-0.029432122,0.06081975,0.05665238,0.070329905,0.033374727,0.032439686,0.0464528,0.017694928,-0.0038989428,0.019059723,0.0131605305,-0.04828909,0.03356659,0.058372762,0.021329973
0.004428288,0.04855367,0.028790902,0.012202676,0.031113194,0.03412675,0.0073858276,-0.021878567,0.05001153,0.10154546,0.02440574,0.034899313,-0.05601762,-0.0033108806,-0.011977518,-0.018146342,0.048979405,-0.031719472,-0.0020541635,-0.06578158,0.02371931,0.0107086,-0.035683725,-0.038592763,-0.026951112,0.017829949,0.07851544,-0.011970452,0.036939118,-0.006226382,-0.0026512954,0.049740326,0.058695626,-0.03521845,-0.04353766,0.0068259765,-0.025348354,0.022364894,-0.031207886,0.012240964
0.034828715,0.028975558,0.035186715,-0.010134252,-0.027586138,0.06050119,-0.023715766,-0.005865964,-0.006795114,0.048568144,0.014590376,-0.025830949,-0.042132385,0.03952299,0.050167754,0.017825391,-0.047755394,-0.06860233,0.039894808,0.064112365,-0.01231132,0.056637384,-0.0479381,-0.046886574,-0.042030834,0.052247424,0.013900392,0.021387346,0.0069295834,0.061114922,-0.05166424,0.0038431322,-0.0011996265,0.06474449,-0.06984998,-0.07383574,0.024817592,-0.065249756,0.076464355,-0.07296677
0.0012270639,-0.026179021,-0.053160448,-0.048955116,0.025601702,-0.014547688,-0.0020041096,0.002266401,0.049634796,0.016057437,-0.04374281,-0.038442455,0.01019157,0.06173344,-0.06566015,-0.040474705,-0.049467374,-0.030827738,-0.0007209594,-0.01656069,0.050405137,0.043948047,-0.019797517,0.015757425,-0.017254515,0.030138448,0.0429388,0.018914113,-0.007997703,-0.039809864,0.029805213,0.0057635526,0.05086159,0.02151647,-0.004786095,0.04987286,-0.05892206,0.0272761,0.041102193,-0.027673014
-0.01108156,-0.01245851,0.033200808,-0.01971563,-0.055514794,-0.052974083,0.030576786,-0.023560097,-0.043341037,-0.012061508,-0.032727662,-0.038380213,-0.016421404,-0.015780246,-0.05320793,-0.015866961,-0.0073148212,0.019759668,0.0019838575,-0.005646219,0.044174336,-0.043255273,-0.05802064,-0.05181584,0.0058545605,-0.03225391,-0.015549708,-0.056470845,-0.041355122,-0.06325506,-0.024573006,-0.008211789,0.089449815,0.086243525,-0.06431176,-0.037431028,-0.063425064,0.049350824,-0.068755604,0.007352673
0.05538278,0.00161492,-0.00049148983,-0.05199181,0.040183842,-0.06899489,0.029784776,-0.019469105,-0.03560772,0.03465759,-0.05367319,-0.021662727,-0.029337445,0.01229562,-0.012787759,0.060232915,0.022809919,-0.03352736,0.0562933,0.06524472,0.04512243,-0.02916451,-0.009961306,-0.0410328,0.022946635,0.06904531,-0.058896046,-0.006434843,0.007410008,0.03350942,0.015016005,0.024409946,-0.041098606,-0.005263554,-0.05577546,0.016447514,0.04685191,-0.039761838,0.04745237,0.030676167
0.05871143,0.012622931,0.030320892,0.042911083,-0.069878,0.01098613,0.042825736,-0.017480295,-0.0067878063,0.017762262,0.019814013,0.0024205917,0.027289473,0.013259287,0.0074675977,-0.01486565,-0.056731973,0.0591471,0.0035873894,0.0052999747,0.010648614,-0.017416023,0.018901454,-0.03183752,0.025265902,-0.022550143,-0.040104866,-0.017526079,0.027981564,0.06211774,0.034702126,-0.017629763,0.009957083,-0.03166931,0.0399577,0.003197242,0.036270138,0.057362225,0.017318515,0.029004889
0.06386622,0.0664801,0.018126672,-0.033042457,-0.023006903,-0.0036846334,0.053867325,-0.02882226,0.03486027,0.03699345,0.0036653676,0.05756733,0.056621633,0.0574508,0.025644906,0.056070924,-0.008981001,0.038627047,0.00085502333,-0.054574013,0.049007464,0.03890724,0.0012356102,0.05329618,0.03698058,0.050666377,0.043414354,0.01199037,-0.036433004,0.037404597,-0.040740237,0.025631167,-0.06527804,0.046092834,-0.015351005,0.035832644,0.01369372,-0.06168088,0.0042803697,0.04617219
-0.038091898,-0.004087818,0.04676409,0.076712206,0.0048454194,-0.00080661144,0.06788427,0.07672782,0.027159706,-0.050060865,-0.019655358,0.038782626,0.029789478,0.07317692,0.015634423,0.055335827,0.03290217,-0.037712626,0.028829547,-0.008469704,0.04412866,0.068089955,0.01045756,-0.04943632,0.052511424,0.025911147,0.025286593,0.06805214,-0.013596361,0.06288728,-0.034735765,0.042428117,-0.043800544,0.06487812,0.037583638,0.04481972,0.06323496,0.017397815,0.05560155,-0.06038614
0.07949314,0.02990066,-0.040803086,-0.024858568,-0.017090598,-0.018889947,0.0027385056,-0.005313397,-0.012469519,0.020205187,-0.04689251,0.0768194,0.07394496,0.05429281,0.064485155,0.06426826,-0.043345448,0.055958796,0.040865865,-0.018241186,0.055466134,0.0506214,-0.0033553857,-0.003282057,0.05305976,0.0728064,0.005753791,0.057719596,0.022373823,-0.011258889,0.0313705,0.032256834,-0.033654775,0.03804705,0.0047183023,0.00072125066,0.046484426,0.07145007,0.012749344,0.05279365
-0.0030551725,-0.036362413,-0.039112862,-0.031017285,-0.06444423,0.013556598,0.026270516,-0.004574042,-0.02162158,-0.02827144,0.022959864,-0.024139361,-0.056377083,-0.0063169883,-0.012569293,-0.021228444,0.017906548,-0.020065464,0.005739103,-0.060560282,-0.064529836,-0.040022343,-0.05306234,-0.056838084,0.05684354,-0.025859963,-0.015766906,0.012902423,-0.03567372,0.043733027,-0.044886936,0.0028748908,0.002954276,0.023331627,-0.0028833665,-0.017441437,-0.058457438,-0.0081406245,0.02558433,-0.052462906
0.07461327,-0.034647755,0.013610045,0.053606518,0.048638735,0.04868454,-0.046909012,-0.03245958,0.005550149,-0.022763023,-0.025542626,0.007517334,-0.030421479,0.03498328,0.02973963,-0.01106982,0.021563217,-0.051095594,-0.043907154,0.037729457,-0.009026397,0.009244505,0.041835904,0.0056207413,-0.03240219,0.017689176,-0.006849608,-0.016394245,0.051531836,-0.001667022,-0.05052624,0.0045985794,0.05874312,0.023295056,0.058640905,0.031058146,-0.029779648,-0.018326437,0.06751286,-0.063419394
0.0021936572,-0.0347001,0.046020087,0.004256534,0.05975324,0.06708851,0.048482344,0.054714072,0.05572223,-0.015188854,0.066001214,-0.008270405,0.05319871,-0.035847392,0.029760245,0.06879874,0.04357846,0.04861582,0.057522133,-0.007696399,0.033570267,0.049590763,0.028078075,0.049908273,-0.033977825,0.056990243,-0.030277487,-0.061672505,-0.0065187165,0.028208349,0.077114835,-0.04194588,-0.06589194,0.0103885755,0.06013881,0.020015417,0.026636528,-0.029589444,0.037230656,0.0370253
