Toys Games & Hobbies,ball,balloon,baseball,basketball,beads,binoculars,bubble,camera,checkers,compass,dart,dice,doll,dominoes,football,golfball,hopscotch,jump rope,kite,magnifying glass,marbles,medal,microphone,needle,net,record,robot,sandcastle,sewing machine,skateboard,skis,sled,slide,slingshot,sparkler,swing,target,telescope,tennis ball,thimble,tic-tac-toe,top,trophy,whistle,yarn,yo-yo
-0.02892195,-0.033877425,-0.04345106,-0.065114535,-0.033018228,-0.013273503,0.007857894,-0.020913705,-0.06814391,0.035049863,0.028075201,-0.062804356,-0.026971176,-0.050521437,0.00036021884,-0.066999055,0.0013024053,-0.031252015,-0.010326409,-0.032382235,0.01913031,-0.00026839526,-0.037915144,-0.06125095,-0.008021295,-0.04937136,-0.01184973,-0.059896115,-0.009229293,-0.022967055,-0.038666226,0.014258257,-0.012498823,-0.03521404,-0.004261535,0.012426935,-0.04388814,0.0008285503,-0.0053046765,-0.032005887,0.05180652,0.004515941,-0.07168244,-0.046218563,0.0044480534,-0.005329686,-0.027972102
-0.013120678,0.018396972,0.0289717,-0.019199368,-0.028591732,0.0047245855,0.028656805,0.023103805,0.017928256,-0.03319347,-0.061895914,0.036326434,0.017080538,-0.0015063644,-0.038229633,-0.002863141,-0.007948859,-0.044964448,-0.013556002,-0.008651842,0.023213115,0.0098344935,-0.04698984,0.016624464,-0.024648143,0.010787907,-0.03977653,-0.037180223,0.038702995,-0.04263385,-0.023085264,0.02568345,-0.006802515,0.04349732,0.00012222986,0.014361494,0.04101246,-0.01660108,-0.03865342,0.02694896,-0.0011935562,-0.015213504,-0.033009667,-0.058477845,0.047555424,0.013865268,-0.043548092
-0.0075283474,-0.013356877,0.034258947,-0.05490686,0.059215635,0.06938297,-0.032323614,-0.018137734,0.013802466,-0.019970007,0.06448586,-0.0050911983,0.003989776,-0.022777101,0.023238458,-0.079124466,-0.013181782,-0.020163244,0.01759128,0.08065924,0.054881312,0.051479857,-0.010131193,0.060218573,0.05139187,-0.036618125,0.060896676,-0.046212163,0.017242176,0.028054649,0.063776165,-0.056741167,0.00044783976,0.07104105,-0.011434043,0.05446817,0.07054736,-0.04216035,0.006779046,-0.060032606,-0.043542057,-0.048877828,0.0494218,-0.079103574,0.04668529,0.013393133,0.053201564
-0.01994287,0.06488196,0.03183511,0.0057205814,-0.001267287,0.034964345,0.023749206,0.059452556,0.066129655,-0.0334469,0.030080251,-0.0058464324,-0.0025471046,0.028395321,0.012447478,0.037766755,0.041854497,-0.023846075,0.034300327,0.05263046,0.049984694,-0.026586363,0.024904106,0.07086918,0.04044956,0.02056454,-0.024561696,0.031202398,-0.026585527,0.022631502,0.027465208,0.04125349,0.061242513,-0.014931847,0.016453551,0.03814664,0.04987483,0.026452513,0.036447644,0.0016516898,0.009597809,0.040126763,0.03447396,0.033180524,0.041748963,0.05610389,0.043830838
-0.06533702,-0.013543106,-0.057842184,0.014968276,0.0061821803,-0.031430896,0.05341711,-0.08220591,-0.0027967752,-0.050647825,-0.017748691,-0.037115514,-0.02818302,-0.03765415,-0.023765562,0.023289457,-0.012879204,-0.06739219,-0.036102057,0.024664009,-0.004275067,0.040458884,0.016715586,0.046053223,0.0066481726,0.0036193402,0.010879362,-0.018432217,-0.05472406,-0.035474293,-0.010553592,-0.053406402,-0.034165155,-0.068575114,0.026824426,0.009629542,-0.0498511,0.014495726,0.044870842,0.011629684,0.057566848,-0.02778769,-0.039288584,0.07412515,0.024235593,-0.046838067,-0.06921132
-0.034964874,0.02881495,-0.023367118,0.060270675,0.04250441,0.029608272,-0.0028033992,0.019459011,0.07667368,-0.038836397,-0.046216622,0.021977048,0.0036395688,-0.0051481454,0.05763545,0.053859133,0.020634362,-0.035996206,-0.06771989,0.0669904,-0.075493,-0.013607172,-0.025552649,0.037309077,-0.04090752,0.08620818,0.056493104,-0.050526354,0.01587302,0.019410072,-0.032987602,-0.015666567,-0.06544452,0.06421397,0.012961741,-0.016794953,0.089754894,0.08213509,-0.07683538,0.04365787,-0.0010304726,0.04089067,0.010038909,-0.023294263,0.07494136,0.0003862326,0.062055226
-0.069084406,0.017226247,0.04160792,0.035493452,0.030996569,0.0038096572,0.019379994,0.0056467787,0.0009252026,0.003707696,0.042794995,0.055695515,-0.061583966,-0.076537296,0.021299528,0.022882586,0.04326262,-0.047835734,-0.027025942,0.04707115,-0.025076497,0.045521427,-0.051568124,0.05693038,0.031856615,0.044487324,0.01851862,-0.037044697,0.05737433,-0.07324971,0.057471808,0.008376855,-0.0014691098,0.03435134,0.00383736,-0.0290547,-0.02743607,-0.06512844,0.0055212853,0.042787578,-0.060291238,-0.029475493,0.059779786,0.023167936,0.010908329,0.008436451,-0.029630175
-0.06113593,-0.009591189,0.0005184934,-0.013327659,-0.020922802,0.00033282183,-0.024098352,-0.017388048,0.06889274,0.035360858,0.031275082,0.010242727,0.040020153,-0.0066671255,-0.012462801,-0.032860123,0.005216493,-0.0015114855,0.0392659,-0.0078837415,0.023013772,0.056320477,0.00015459266,0.045737527,-0.011251812,0.0014603218,0.034087125,-0.021110272,0.014737175,-0.023188228,0.0049041784,-0.042166878,0.007272971,0.0789257,0.02529739,-0.029452259,-0.0010480213,0.007830247,-0.00238279,0.027722914,0.015643857,0.013195115,0.02162929,0.048594505,0.013590383,-0.027473768,-0.016014853
-0.022727214,-0.021647494,-0.0041149314,0.020119391,0.015996605,-0.0734609,-0.078029454,-0.016815554,0.0012609811,-0.019948287,-0.0017871051,-0.025169061,-0.06572549,0.04048777,-0.031817935,0.028561926,-0.0063338424,0.041091956,-0.026466697,-0.004212937,0.0133589525,-0.07881946,0.052110184,0.07198778,0.05113008,-0.0063303453,0.06295419,0.047708243,-0.0005758959,0.061701305,-0.011017597,-0.070754685,-0.010146397,0.012763476,-0.05164078,-0.03429882,-0.0016791208,-0.028206158,0.030980956,-0.038574036,0.07877252,0.050726324,-0.03975182,0.02411745,-0.015936881,0.032336466,0.044118688
-0.02558586,0.047607817,0.028856723,0.044096753,0.051259242,0.05467766,0.021702755,0.0733196,-0.0290929,0.050992437,0.014956952,0.000372342,0.029735427,0.017560214,0.019163365,0.04971195,0.06785204,0.0541237,0.060669385,0.05542367,0.028494516,0.061304398,-0.047907304,0.026849916,0.0377839,0.053881638,-0.040566873,0.00035610804,0.064992204,-0.010249397,-0.0044950168,-0.047388576,0.044033602,0.06682331,-0.006781153,0.06355102,0.06714635,-0.077760376,-0.050070252,0.05959346,0.014298646,0.08259115,0.027781552,0.014070165,0.057990063,0.0406931,0.043752063
