Accessories,apron,backpack,bandana,belt,bib,bracelet,cane,cast,collar,crutches,diaper,earmuffs,earrings,glasses,glove,handcuffs,hat,helmet,necklace,pipe,purse,ring,scarf,sunglasses,suspenders,tiara,tie,umbrella,walker,wallet,watch,wig
-0.06179139,0.022781251,-0.045666624,0.04260959,-0.0061144107,-0.03313739,-0.0356964,-0.0012832403,-0.080882095,0.01384762,-0.060951874,0.04105149,-0.03510199,0.005902791,-0.0018005194,-0.027428133,0.012233247,-0.026102865,0.03569798,-0.021095647,-0.017680366,-0.034530263,-0.060033824,0.0052848393,0.030708153,0.052163493,0.020891672,0.0025028763,-0.053365372,0.02802697,-0.046979044,-0.05371328,0.009808091
0.033407934,-0.0011123109,0.047817316,0.050772335,0.020950224,0.019827053,0.00090552476,0.005152219,0.028745286,0.01954394,0.011999161,0.04324203,0.052473936,0.035503328,0.0404413,-0.033850454,-7.590057e-06,0.050883606,0.044914503,0.032457054,0.05917502,0.010529104,-0.010705056,0.021556117,0.035604153,0.059421077,-0.022281392,-0.035286643,0.0023686187,-0.061326023,-0.012938733,-0.012278523,-0.00680007
0.00017185036,0.023946276,0.012602772,0.0025394277,0.047530774,-0.028704848,-0.017887842,0.009686427,0.00015626552,0.044443738,0.029398905,-0.064200886,-0.0060051098,0.05504893,-0.029598633,-0.06796424,0.039304234,0.016975962,-0.051244635,0.073649965,0.048366,-0.0030837285,0.030988637,-0.016993573,0.039837148,-0.026067317,0.021714872,0.039118897,0.046453614,0.002134826,-0.03966941,-0.009142027,0.06463
0.033979796,0.023349643,0.0712177,0.033897936,0.042948633,0.032667384,0.03214108,0.060348585,0.05542733,0.045636367,0.040940072,0.048452027,0.060397338,0.031410962,0.046461497,0.024237905,-0.00035987765,0.039766725,0.008024431,0.061663326,0.0736611,0.046929866,0.049920745,0.03969187,0.027402671,0.041667566,0.019712165,0.05892926,0.01499193,0.03192121,0.03114572,0.045222063,0.06540952
-0.038364217,0.05873462,-0.032775342,0.02854165,-0.027253672,-0.07169185,-0.009665627,-0.042395297,0.010236679,0.04767461,0.046057615,-0.0022529264,0.012716718,0.02997235,0.009154971,0.048186462,0.04070671,0.049686406,0.06967429,0.05978783,-0.017443273,0.031639483,-0.034182373,0.04725156,0.0076727928,-0.032467257,0.021364473,0.042517398,0.0020169711,-0.038127355,0.062135443,-0.072407536,0.0612002
0.037762955,0.010569509,0.05671068,0.06906915,0.049265202,0.04380211,-0.022433566,0.05449194,0.050886173,0.050449014,0.055182714,-0.0072758803,-0.05772234,-0.041967586,0.058841646,-0.03125473,0.052731108,-0.006058085,-0.037974294,0.049085308,-0.081465244,0.06462765,-0.06971515,0.04729185,0.061503753,-0.01849338,-0.054926082,0.031322468,0.07835339,0.06433189,0.048999783,-0.017606493,-0.0730596
-0.06773827,-0.042407025,-0.01770853,-0.0629326,0.01937518,0.007781755,-0.06871482,0.031470094,0.023109322,-0.03583242,-0.009262122,-0.017191116,0.052951507,0.008862584,0.004532343,-0.014110016,-0.02989534,0.021065295,0.047387917,-0.06384508,0.07241781,-0.007878022,0.037189182,-0.022962162,0.02005189,0.0011381186,0.026353197,-0.027510336,0.03194808,-0.06632828,0.018611856,-0.024489565,0.05737832
0.038151745,0.030163737,0.026937334,0.03943779,0.047968637,0.04284401,0.0037419766,0.016354032,0.002111733,0.029015867,0.023678383,-0.037591387,0.01496039,0.017803403,-0.01218756,0.01521662,-0.0017822831,-0.026666969,0.01898793,0.045288663,0.042035136,0.042011693,-0.030369997,0.028137451,0.020147838,0.0636266,0.01229045,-0.0028916453,0.03129352,-0.0333211,0.05559035,0.069073275,0.023291549
0.022683052,0.05904846,0.05731926,0.008404241,0.052981745,0.0071245474,0.03121954,0.028277969,0.00828148,0.049867626,-0.076088876,0.05269386,-0.05972388,-0.074676745,-0.07974107,0.030250646,-0.07521738,0.05866144,0.028744537,0.059011895,0.06453789,0.061734535,0.067942835,0.03518372,-0.07462577,-0.07600595,0.030384932,0.01627257,0.034322895,0.01205284,0.03605353,-0.009477638,0.034403577
-0.047332633,-0.031696577,-0.008103373,0.03864196,0.0023671577,-0.015046039,0.0025869946,0.028982852,-0.032650474,0.011681252,-0.0030057686,-0.009271318,0.024820376,0.038243875,0.038838856,0.04700449,-0.049148418,0.020020243,0.0050853044,6.815999e-05,0.006840511,-0.049573764,-0.005162016,0.06306362,0.03037988,0.030664835,-0.05009442,0.063491955,0.032778267,0.014868953,-0.07099595,0.049015112,0.020443806
-0.0036583608,0.025003038,0.025595874,0.053317256,-0.026836595,-0.045973327,0.01646522,0.058440626,0.05637282,0.028235832,0.06351317,0.012999454,0.0494561,0.007777748,0.023308843,0.035508703,0.029322146,0.04972473,0.047744546,0.040165193,0.0060523557,-0.05185263,0.010681549,0.009326241,-0.010175908,-0.011754392,0.06811561,-0.029141914,0.0134925125,0.00630169,-0.027339675,0.0135753425,0.048109397
0.02179446,-0.043218307,0.021214364,0.05215191,0.051776078,-0.025833411,0.017115142,0.058363132,0.022384953,0.07058759,-0.06435943,0.072669305,0.022304969,0.048093583,0.033812642,-0.05036813,0.045413814,-0.016682798,0.07726265,0.025783662,0.043455444,-0.052840196,-0.051758178,-0.039501775,-0.042918347,-0.002124873,0.06439085,0.063525826,-0.0785436,0.014654172,-0.07702252,-0.057092987,0.08124725
-0.018569756,-0.007834304,0.021614842,0.009996808,-0.019539934,-0.0022564286,0.037911866,0.031297512,0.050494887,0.06209225,-0.024357699,0.052793648,0.06854909,0.004375482,-0.021456752,0.00736665,0.026283693,-0.04927278,-0.011297882,0.02713984,0.011244205,0.05638088,0.03315307,0.031279583,0.005013562,0.024952793,-0.0025314868,0.03526575,-0.01440002,-0.059489645,-0.008699715,-0.008223573,-0.014092537
-0.023737531,-0.041204177,-0.0453764,-0.03743633,0.004630259,0.033015966,0.018248953,0.049929406,0.056686714,-0.0011598925,-0.056669965,-0.03878253,0.008083944,0.0019684103,-0.022734584,-0.01765139,-0.06070409,0.0067559625,-0.06436844,0.015748184,0.014903799,-0.028387854,-0.0020540655,-0.05335617,-0.054441016,0.01993971,-0.022353483,-0.052813698,-0.025877874,-0.07054883,-0.025282575,0.0806256,-0.009778742
0.042321343,-0.08471386,0.012598781,0.06537768,0.03285065,-0.08736059,0.048594184,-0.0016997785,0.028433882,-0.03055226,0.040318303,0.041668717,0.04769205,0.054758374,-0.027943041,0.062207446,0.049290366,-0.036514234,-0.047198668,-0.053414587,0.0033122592,0.002339096,0.039644703,-0.001669586,-0.0044739516,0.0015670568,0.0086300345,-0.015258907,-0.012163779,-0.0682837,-0.0028585058,-0.0073802317,0.042401724
0.028716626,-0.004653083,0.019161401,-0.023867413,0.029747365,0.018338168,-0.036050856,-0.023550877,0.023668047,0.015381916,0.013151469,-0.035279673,-0.014927164,0.0151495775,0.016146114,-0.00260567,-0.05802693,-0.050273098,0.0025339907,-0.054200698,0.02349309,-0.06241234,-0.010724773,0.0055489265,-0.015508763,-0.028311636,-0.008220203,-0.0016731544,-0.026304705,0.035105277,-0.014434626,-0.03132084,-0.01727878
0.023053907,-0.0024072395,0.022632986,0.01604436,0.033630244,-0.051059086,0.0024535966,-0.056734692,0.019173026,0.06159302,-0.074915,-0.07626534,0.0033989965,0.026363108,0.007863585,-0.035159435,0.05001084,-0.010215741,0.0348912,0.040252768,0.038660575,0.025129085,-0.034769956,0.049457382,0.058309436,0.058747053,-0.026976781,0.045395985,0.06088043,-0.04455487,0.04909768,-0.014789615,0.019203216
0.0051205563,0.037205067,0.06569845,-0.0024562948,0.0534653,0.060550336,0.04172269,-0.024163438,-0.018939855,0.06489508,-0.027455004,0.029066179,0.054656707,0.073658,0.045479454,-0.011302204,0.053750284,0.0033316421,0.01871202,0.061042007,0.048082054,0.0055260346,0.044677515,0.02536139,0.044806004,0.057462994,0.048520714,0.07452898,-0.010052169,0.028157372,0.018451774,0.0046515083,-0.074323386
0.006877424,0.0367406,0.034410264,0.011906381,0.041002233,0.01750421,0.0003396322,0.033999406,-0.008968709,0.021108532,-0.067711964,0.025609437,0.01113492,-0.07336183,-0.036481854,0.057962038,0.03475992,0.0055334205,0.050529324,0.005453739,-0.0005286788,0.047413774,0.03142205,0.021080181,0.018271517,0.0058098054,-0.029890586,-0.019907024,0.07145227,-0.030181231,0.035499934,0.064477794,0.009930759
0.051766913,0.022956619,-0.07190582,-0.043281306,-0.010342332,0.042950712,-0.033935856,-0.075690016,0.028540175,-0.027984947,-0.06381871,-0.030126859,-0.04720866,-0.034775656,-0.0743569,-0.038743727,0.053918798,-0.010443306,-0.06614566,-0.040900383,-0.0045112767,-0.048859637,0.03782357,-0.0688762,-0.061939906,-0.023573935,0.01155469,-0.012173702,-0.032366876,0.04239599,-0.016288841,-0.011763257,-0.006199992
0.039935004,0.027319813,0.029754445,-0.0035759672,-0.028416773,-0.011765365,-0.009242238,0.0189504,-0.035757117,0.0358326,0.026502991,-0.009019404,-0.024205381,-0.007939481,-0.038395524,-0.012126275,0.03423154,-0.016573073,-0.052737582,0.016202861,0.0016345253,0.019190833,0.01296796,0.010201866,0.011542729,-0.039901156,-0.0050123865,-0.03186375,0.010699536,0.03266812,-0.042531945,-0.042250805,-0.022138776
0.006036163,0.08453739,0.04646081,0.07187251,0.019717766,0.068936154,0.053214904,-0.06858257,-0.027766801,0.064560056,0.0018601138,0.051122036,0.061907932,0.0726228,0.06489448,-0.057196125,-0.038244195,0.07933618,0.067742996,0.055307172,0.043062296,0.012759565,0.07666398,0.07336313,-0.005338515,0.06059187,0.07188767,0.022743424,0.06902613,0.01380126,0.053339005,-0.074893914,0.0027791637
0.051454026,-0.0431448,-0.042529788,-0.008760011,0.007130932,-0.050508168,0.0042998325,-0.011324037,-0.012604062,-0.01803287,-0.06253651,0.014075182,-0.016033618,-0.018969357,-0.053153764,-0.035455547,-0.028230825,0.03865273,-0.048667457,0.028690156,-0.011795591,-0.020993391,0.033623386,-0.055870745,-0.04456361,-0.028385079,-0.024845274,-0.004004424,-0.04539492,0.0617714,-0.0087073725,-0.057891417,-0.024609955
